Locus	Namespace	GO-ID	GO-term	pubMedId	EvidenceCode
NCU01535.7	cellular_component	GO:0009514	glyoxysome	20728240	IEP: Inferred from Expression Pattern
NCU01539.7	biological_process	GO:0007033	vacuole organization	20601042	IMP: Inferred from Mutant Phenotype
NCU01539.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01545.7	biological_process	GO:0000045	autophagic vacuole assembly	None	ISS: Inferred from Sequence or Structural Similarity
NCU01545.7	biological_process	GO:0000768	syncytium formation by plasma membrane fusion	21666072	IMP: Inferred from Mutant Phenotype
NCU01545.7	biological_process	GO:0006501	C-terminal protein lipidation	None	ISS: Inferred from Sequence or Structural Similarity
NCU01545.7	biological_process	GO:0006623	protein targeting to vacuole	None	ISS: Inferred from Sequence or Structural Similarity
NCU01545.7	biological_process	GO:0006914	autophagy	None	ISS: Inferred from Sequence or Structural Similarity
NCU01545.7	biological_process	GO:0006944	cellular membrane fusion	None	ISS: Inferred from Sequence or Structural Similarity
NCU01545.7	cellular_component	GO:0000407	pre-autophagosomal structure	None	ISS: Inferred from Sequence or Structural Similarity
NCU01545.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU01545.7	cellular_component	GO:0005776	autophagic vacuole	None	ISS: Inferred from Sequence or Structural Similarity
NCU01545.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU01545.7	molecular_function	GO:0008017	microtubule binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01546.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU01547.7	biological_process	GO:0006511	ubiquitin-dependent protein catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01547.7	cellular_component	GO:0008541	proteasome regulatory particle, lid subcomplex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01550.7	biological_process	GO:0006172	ADP biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01550.7	biological_process	GO:0009117	nucleotide metabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01550.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU01550.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU01550.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU01550.7	cellular_component	GO:0005741	mitochondrial outer membrane	16294304	IDA: Inferred from Direct Assay
NCU01550.7	cellular_component	GO:0005758	mitochondrial intermembrane space	None	ISS: Inferred from Sequence or Structural Similarity
NCU01550.7	molecular_function	GO:0004017	adenylate kinase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01552.7	biological_process	GO:0000723	telomere maintenance	None	ISS: Inferred from Sequence or Structural Similarity
NCU01552.7	biological_process	GO:0006412	translation	None	ISS: Inferred from Sequence or Structural Similarity
NCU01552.7	biological_process	GO:0006450	regulation of translational fidelity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01552.7	cellular_component	GO:0022627	cytosolic small ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
NCU01552.7	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU01555.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01589.7	biological_process	GO:0006457	protein folding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01589.7	biological_process	GO:0030150	protein import into mitochondrial matrix	None	ISS: Inferred from Sequence or Structural Similarity
NCU01589.7	cellular_component	GO:0005739	mitochondrion	17873079	IDA: Inferred from Direct Assay
NCU01589.7	cellular_component	GO:0042645	mitochondrial nucleoid	None	ISS: Inferred from Sequence or Structural Similarity
NCU01589.7	molecular_function	GO:0003697	single-stranded DNA binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01595.7	biological_process	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	None	ISS: Inferred from Sequence or Structural Similarity
NCU01595.7	cellular_component	GO:0005730	nucleolus	None	ISS: Inferred from Sequence or Structural Similarity
NCU01595.7	cellular_component	GO:0005732	small nucleolar ribonucleoprotein complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01595.7	cellular_component	GO:0030686	90S preribosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU01595.7	cellular_component	GO:0032040	small-subunit processome	None	ISS: Inferred from Sequence or Structural Similarity
NCU01596.7	biological_process	GO:0006511	ubiquitin-dependent protein catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01596.7	biological_process	GO:0043248	proteasome assembly	None	ISS: Inferred from Sequence or Structural Similarity
NCU01596.7	cellular_component	GO:0008541	proteasome regulatory particle, lid subcomplex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01596.7	molecular_function	GO:0005198	structural molecule activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01605.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	19788544	IMP: Inferred from Mutant Phenotype
NCU01605.7	biological_process	GO:0009272	fungal-type cell wall biogenesis	19788544	IMP: Inferred from Mutant Phenotype
NCU01605.7	biological_process	GO:0019835	cytolysis	19788544	IMP: Inferred from Mutant Phenotype
NCU01605.7	biological_process	GO:0030448	hyphal growth	19788544	IMP: Inferred from Mutant Phenotype
NCU01605.7	biological_process	GO:0070787	conidiophore development	19788544	IMP: Inferred from Mutant Phenotype
NCU01605.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU01605.7	cellular_component	GO:0005816	spindle pole body	None	ISS: Inferred from Sequence or Structural Similarity
NCU01605.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU01605.7	cellular_component	GO:0031097	medial cortex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01605.7	molecular_function	GO:0005515	protein binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01605.7	molecular_function	GO:0019887	protein kinase regulator activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01606.7	cellular_component	GO:0005739	mitochondrion	17873079	IDA: Inferred from Direct Assay
NCU01612.7	biological_process	GO:0000390	spliceosome disassembly	None	ISS: Inferred from Sequence or Structural Similarity
NCU01614.7	biological_process	GO:0008380	RNA splicing	None	ISS: Inferred from Sequence or Structural Similarity
NCU01614.7	cellular_component	GO:0005681	spliceosomal complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01614.7	cellular_component	GO:0030532	small nuclear ribonucleoprotein complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01614.7	molecular_function	GO:0005515	protein binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01625.7	biological_process	GO:0000717	nucleotide-excision repair, DNA duplex unwinding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01625.7	biological_process	GO:0006289	nucleotide-excision repair	None	ISS: Inferred from Sequence or Structural Similarity
NCU01625.7	biological_process	GO:0006367	transcription initiation from RNA polymerase II promoter	None	ISS: Inferred from Sequence or Structural Similarity
NCU01625.7	cellular_component	GO:0000112	nucleotide-excision repair factor 3 complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01625.7	cellular_component	GO:0005675	holo TFIIH complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01625.7	molecular_function	GO:0003678	DNA helicase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01625.7	molecular_function	GO:0016251	general RNA polymerase II transcription factor activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01629.7	biological_process	GO:0070873	regulation of glycogen metabolic process	21768394	IMP: Inferred from Mutant Phenotype
NCU01632.7	biological_process	GO:0009073	aromatic amino acid family biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01632.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU01632.7	molecular_function	GO:0003855	3-dehydroquinate dehydratase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01632.7	molecular_function	GO:0003856	3-dehydroquinate synthase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01632.7	molecular_function	GO:0003856	3-dehydroquinate synthase activity	3157372	IDA: Inferred from Direct Assay
NCU01632.7	molecular_function	GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01632.7	molecular_function	GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity	11968207	IDA: Inferred from Direct Assay
NCU01632.7	molecular_function	GO:0004764	shikimate 5-dehydrogenase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01632.7	molecular_function	GO:0004765	shikimate kinase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01634.7	biological_process	GO:0006333	chromatin assembly or disassembly	None	ISS: Inferred from Sequence or Structural Similarity
NCU01634.7	cellular_component	GO:0000788	nuclear nucleosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU01634.7	molecular_function	GO:0003677	DNA binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01635.7	biological_process	GO:0006306	DNA methylation	11713521	IMP: Inferred from Mutant Phenotype
NCU01635.7	biological_process	GO:0006333	chromatin assembly or disassembly	None	ISS: Inferred from Sequence or Structural Similarity
NCU01635.7	biological_process	GO:0044030	regulation of DNA methylation	22242002	IMP: Inferred from Mutant Phenotype
NCU01635.7	cellular_component	GO:0000788	nuclear nucleosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU01635.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU01635.7	molecular_function	GO:0003677	DNA binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01636.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01648.7	biological_process	GO:0006493	protein O-linked glycosylation	None	ISS: Inferred from Sequence or Structural Similarity
NCU01648.7	cellular_component	GO:0005783	endoplasmic reticulum	None	ISS: Inferred from Sequence or Structural Similarity
NCU01648.7	molecular_function	GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01650.7	biological_process	GO:0006412	translation	16451194	IC: Inferred by Curator
NCU01650.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU01650.7	cellular_component	GO:0005762	mitochondrial large ribosomal subunit	16451194	IPI: Inferred from Physical Interaction
NCU01650.7	molecular_function	GO:0003735	structural constituent of ribosome	16451194	IPI: Inferred from Physical Interaction
NCU01652.7	biological_process	GO:0006555	methionine metabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01652.7	biological_process	GO:0019344	cysteine biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01652.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU01652.7	molecular_function	GO:0003961	O-acetylhomoserine aminocarboxypropyltransferase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01652.7	molecular_function	GO:0004124	cysteine synthase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01654.7	cellular_component	GO:0009514	glyoxysome	20707002	IDA: Inferred from Direct Assay
NCU01656.7	biological_process	GO:0006306	DNA methylation	20885793	IMP: Inferred from Mutant Phenotype
NCU01656.7	biological_process	GO:0051567	histone H3-K9 methylation	20885793	IMP: Inferred from Mutant Phenotype
NCU01666.7	biological_process	GO:0009082	branched chain family amino acid biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01666.7	biological_process	GO:0010034	response to acetate	14599890	IEP: Inferred from Expression Pattern
NCU01666.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU01666.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU01666.7	cellular_component	GO:0005948	acetolactate synthase complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01666.7	cellular_component	GO:0042645	mitochondrial nucleoid	None	ISS: Inferred from Sequence or Structural Similarity
NCU01666.7	molecular_function	GO:0003984	acetolactate synthase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01666.7	molecular_function	GO:0030234	enzyme regulator activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01667.7	biological_process	GO:0006526	arginine biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01667.7	biological_process	GO:0006591	ornithine metabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01667.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU01667.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU01667.7	molecular_function	GO:0004585	ornithine carbamoyltransferase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01680.7	biological_process	GO:0006885	regulation of pH	None	ISS: Inferred from Sequence or Structural Similarity
NCU01680.7	biological_process	GO:0006970	response to osmotic stress	9169444	IMP: Inferred from Mutant Phenotype
NCU01680.7	biological_process	GO:0015992	proton transport	None	ISS: Inferred from Sequence or Structural Similarity
NCU01680.7	cellular_component	GO:0005624	membrane fraction	None	ISS: Inferred from Sequence or Structural Similarity
NCU01680.7	cellular_component	GO:0005739	mitochondrion	17873079	IDA: Inferred from Direct Assay
NCU01680.7	cellular_component	GO:0005886	plasma membrane	None	ISS: Inferred from Sequence or Structural Similarity
NCU01680.7	cellular_component	GO:0045121	membrane raft	None	ISS: Inferred from Sequence or Structural Similarity
NCU01680.7	molecular_function	GO:0008553	hydrogen-exporting ATPase activity, phosphorylative mechanism	None	ISS: Inferred from Sequence or Structural Similarity
NCU01680.7	molecular_function	GO:0016887	ATPase activity	12169656	IDA: Inferred from Direct Assay
NCU01689.7	biological_process	GO:0000002	mitochondrial genome maintenance	None	ISS: Inferred from Sequence or Structural Similarity
NCU01689.7	biological_process	GO:0006842	tricarboxylic acid transport	None	ISS: Inferred from Sequence or Structural Similarity
NCU01689.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU01689.7	cellular_component	GO:0042645	mitochondrial nucleoid	None	ISS: Inferred from Sequence or Structural Similarity
NCU01689.7	molecular_function	GO:0003677	DNA binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01689.7	molecular_function	GO:0005371	tricarboxylate secondary active transmembrane transporter activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01692.7	biological_process	GO:0006099	tricarboxylic acid cycle	None	ISS: Inferred from Sequence or Structural Similarity
NCU01692.7	biological_process	GO:0006101	citrate metabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01692.7	biological_process	GO:0006537	glutamate biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01692.7	biological_process	GO:0046356	acetyl-CoA catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01692.7	cellular_component	GO:0005739	mitochondrion	17873079	IDA: Inferred from Direct Assay
NCU01692.7	cellular_component	GO:0009514	glyoxysome	20707002	IDA: Inferred from Direct Assay
NCU01692.7	molecular_function	GO:0004108	citrate (Si)-synthase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01713.7	biological_process	GO:0007163	establishment or maintenance of cell polarity	12960438	IMP: Inferred from Mutant Phenotype
NCU01731.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	17631397	IMP: Inferred from Mutant Phenotype
NCU01731.7	biological_process	GO:0010114	response to red light	17631397	IEP: Inferred from Expression Pattern
NCU01731.7	biological_process	GO:0016117	carotenoid biosynthetic process	19932184	IMP: Inferred from Mutant Phenotype
NCU01731.7	biological_process	GO:0030437	ascospore formation	17631397	IMP: Inferred from Mutant Phenotype
NCU01731.7	biological_process	GO:0030448	hyphal growth	17631397	IMP: Inferred from Mutant Phenotype
NCU01731.7	biological_process	GO:0040009	regulation of growth rate	17631397	IMP: Inferred from Mutant Phenotype
NCU01738.7	biological_process	GO:0030437	ascospore formation	17898858	IMP: Inferred from Mutant Phenotype
NCU01744.7	biological_process	GO:0006537	glutamate biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01744.7	biological_process	GO:0019676	ammonia assimilation cycle	None	ISS: Inferred from Sequence or Structural Similarity
NCU01744.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU01752.7	cellular_component	GO:0030446	hyphal cell wall	19555771	IEP: Inferred from Expression Pattern
NCU01754.7	biological_process	GO:0000947	amino acid catabolic process to alcohol via Ehrlich pathway	None	ISS: Inferred from Sequence or Structural Similarity
NCU01754.7	biological_process	GO:0006116	NADH oxidation	None	ISS: Inferred from Sequence or Structural Similarity
NCU01754.7	biological_process	GO:0009416	response to light stimulus	12180913	IEP: Inferred from Expression Pattern
NCU01754.7	biological_process	GO:0042149	cellular response to glucose starvation	15531214	IEP: Inferred from Expression Pattern
NCU01754.7	cellular_component	GO:0005625	soluble fraction	None	IPI: Inferred from Physical Interaction
NCU01754.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU01754.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU01754.7	cellular_component	GO:0005759	mitochondrial matrix	None	ISS: Inferred from Sequence or Structural Similarity
NCU01754.7	molecular_function	GO:0004022	alcohol dehydrogenase (NAD) activity	17516063	IDA: Inferred from Direct Assay
NCU01756.7	biological_process	GO:0000001	mitochondrion inheritance	None	ISS: Inferred from Sequence or Structural Similarity
NCU01756.7	biological_process	GO:0007015	actin filament organization	None	ISS: Inferred from Sequence or Structural Similarity
NCU01756.7	biological_process	GO:0007163	establishment or maintenance of cell polarity	9819052	None
NCU01756.7	cellular_component	GO:0005885	Arp2/3 protein complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01756.7	molecular_function	GO:0003779	actin binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01756.7	molecular_function	GO:0005200	structural constituent of cytoskeleton	None	ISS: Inferred from Sequence or Structural Similarity
NCU01756.7	molecular_function	GO:0005524	ATP binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01757.7	biological_process	GO:0042149	cellular response to glucose starvation	15531214	IEP: Inferred from Expression Pattern
NCU01763.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01765.7	biological_process	GO:0006116	NADH oxidation	15863099	IC: Inferred by Curator
NCU01765.7	biological_process	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	10491161	IC: Inferred by Curator
NCU01765.7	biological_process	GO:0030437	ascospore formation	11014810	IMP: Inferred from Mutant Phenotype
NCU01765.7	biological_process	GO:0080010	regulation of oxygen and reactive oxygen species metabolic process	20435699	IMP: Inferred from Mutant Phenotype
NCU01765.7	cellular_component	GO:0005739	mitochondrion	15863099	IC: Inferred by Curator
NCU01765.7	cellular_component	GO:0005739	mitochondrion	17873079	IDA: Inferred from Direct Assay
NCU01765.7	cellular_component	GO:0005747	mitochondrial respiratory chain complex I	15863099	IC: Inferred by Curator
NCU01765.7	molecular_function	GO:0009055	electron carrier activity	15863099	IC: Inferred by Curator
NCU01767.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01768.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01776.7	biological_process	GO:0006412	translation	None	ISS: Inferred from Sequence or Structural Similarity
NCU01776.7	cellular_component	GO:0022625	cytosolic large ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
NCU01776.7	molecular_function	GO:0003723	RNA binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01776.7	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU01789.7	biological_process	GO:0000768	syncytium formation by plasma membrane fusion	20522492	IMP: Inferred from Mutant Phenotype
NCU01789.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	20522492	IMP: Inferred from Mutant Phenotype
NCU01789.7	biological_process	GO:0030448	hyphal growth	20522492	IMP: Inferred from Mutant Phenotype
NCU01789.7	biological_process	GO:0070787	conidiophore development	20522492	IMP: Inferred from Mutant Phenotype
NCU01792.7	biological_process	GO:0009408	response to heat	18586951	IEP: Inferred from Expression Pattern
NCU01797.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	9584090	IMP: Inferred from Mutant Phenotype
NCU01797.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01797.7	biological_process	GO:0030437	ascospore formation	21965514	IMP: Inferred from Mutant Phenotype
NCU01797.7	biological_process	GO:0030448	hyphal growth	21965514	IMP: Inferred from Mutant Phenotype
NCU01797.7	biological_process	GO:0048315	conidium formation	9584090	IMP: Inferred from Mutant Phenotype
NCU01797.7	biological_process	GO:0070787	conidiophore development	21965514	IMP: Inferred from Mutant Phenotype
NCU01800.7	cellular_component	GO:0005761	mitochondrial ribosome	21145408	IDA: Inferred from Direct Assay
NCU01808.7	biological_process	GO:0006118	electron transport	None	ISS: Inferred from Sequence or Structural Similarity
NCU01808.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU01808.7	cellular_component	GO:0005758	mitochondrial intermembrane space	None	ISS: Inferred from Sequence or Structural Similarity
NCU01808.7	molecular_function	GO:0009055	electron carrier activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01815.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01816.7	biological_process	GO:0000256	allantoin catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01820.7	biological_process	GO:0006611	protein export from nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU01820.7	biological_process	GO:0006979	response to oxidative stress	None	ISS: Inferred from Sequence or Structural Similarity
NCU01820.7	biological_process	GO:0051168	nuclear export	None	ISS: Inferred from Sequence or Structural Similarity
NCU01820.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU01820.7	cellular_component	GO:0005635	nuclear envelope	None	ISS: Inferred from Sequence or Structural Similarity
NCU01820.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU01821.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU01822.7	biological_process	GO:0006886	intracellular protein transport	None	ISS: Inferred from Sequence or Structural Similarity
NCU01822.7	biological_process	GO:0042147	retrograde transport, endosome to Golgi	None	ISS: Inferred from Sequence or Structural Similarity
NCU01822.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU01822.7	cellular_component	GO:0005768	endosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU01822.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU01822.7	cellular_component	GO:0030904	retromer complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01827.7	biological_process	GO:0006412	translation	None	ISS: Inferred from Sequence or Structural Similarity
NCU01827.7	cellular_component	GO:0022625	cytosolic large ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
NCU01827.7	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU01830.7	biological_process	GO:0006572	tyrosine catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01838.7	molecular_function	GO:0047428	arylacetonitrilase activity	20882316	IDA: Inferred from Direct Assay
NCU01843.7	biological_process	GO:0006457	protein folding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01843.7	biological_process	GO:0007010	cytoskeleton organization	None	ISS: Inferred from Sequence or Structural Similarity
NCU01843.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU01843.7	cellular_component	GO:0005832	chaperonin-containing T-complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU01843.7	cellular_component	GO:0005856	cytoskeleton	None	ISS: Inferred from Sequence or Structural Similarity
NCU01843.7	molecular_function	GO:0051082	unfolded protein binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU01844.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01850.7	biological_process	GO:0016558	protein import into peroxisome matrix	21920312	IMP: Inferred from Mutant Phenotype
NCU01859.7	biological_process	GO:0006116	NADH oxidation	15863099	IC: Inferred by Curator
NCU01859.7	biological_process	GO:0032981	mitochondrial respiratory chain complex I assembly	9769214	IMP: Inferred from Mutant Phenotype
NCU01859.7	cellular_component	GO:0005739	mitochondrion	15863099	IC: Inferred by Curator
NCU01859.7	cellular_component	GO:0005739	mitochondrion	17873079	IDA: Inferred from Direct Assay
NCU01859.7	cellular_component	GO:0005747	mitochondrial respiratory chain complex I	15863099	IC: Inferred by Curator
NCU01859.7	cellular_component	GO:0031966	mitochondrial membrane	21145408	IDA: Inferred from Direct Assay
NCU01859.7	molecular_function	GO:0009055	electron carrier activity	15863099	IC: Inferred by Curator
NCU01861.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01881.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01894.7	cellular_component	GO:0005761	mitochondrial ribosome	21145408	IDA: Inferred from Direct Assay
NCU01895.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	17392518	IMP: Inferred from Mutant Phenotype
NCU01895.7	biological_process	GO:0006972	hyperosmotic response	17392518	IMP: Inferred from Mutant Phenotype
NCU01895.7	biological_process	GO:0007234	osmosensory signaling pathway via two-component system	17392518	IMP: Inferred from Mutant Phenotype
NCU01895.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01895.7	biological_process	GO:0016310	phosphorylation	17984065	IMP: Inferred from Mutant Phenotype
NCU01895.7	biological_process	GO:0030437	ascospore formation	17392518	IMP: Inferred from Mutant Phenotype
NCU01895.7	biological_process	GO:0042268	regulation of cytolysis	17392518	IMP: Inferred from Mutant Phenotype
NCU01895.7	biological_process	GO:0042325	regulation of phosphorylation	17392518	IMP: Inferred from Mutant Phenotype
NCU01895.7	biological_process	GO:0042538	hyperosmotic salinity response	17392518	IMP: Inferred from Mutant Phenotype
NCU01895.7	biological_process	GO:0042752	regulation of circadian rhythm	17984065	IMP: Inferred from Mutant Phenotype
NCU01895.7	biological_process	GO:0043408	regulation of MAPKKK cascade	17392518	IMP: Inferred from Mutant Phenotype
NCU01895.7	biological_process	GO:0048315	conidium formation	17392518	IMP: Inferred from Mutant Phenotype
NCU01895.7	molecular_function	GO:0000156	two-component response regulator activity	17392518	IMP: Inferred from Mutant Phenotype
NCU01902.7	biological_process	GO:0006048	UDP-N-acetylglucosamine biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01902.7	molecular_function	GO:0004343	glucosamine 6-phosphate N-acetyltransferase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU01904.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01905.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01906.7	biological_process	GO:0006979	response to oxidative stress	None	ISS: Inferred from Sequence or Structural Similarity
NCU01906.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU01906.7	biological_process	GO:0009651	response to salt stress	None	ISS: Inferred from Sequence or Structural Similarity
NCU01906.7	biological_process	GO:0019568	arabinose catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU01906.7	biological_process	GO:0042843	D-xylose catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
