Locus	Symbol	FunCatId	FunCatName
NCU07546	abc-8	20.09.16.01	Type I protein secretion system (ABC-type transport systems)
NCU07546	abc-8	32.05.01	resistance proteins
NCU07546	abc-8	32.07.05	detoxification by export
NCU04596	None	01.20.37.01	metabolism of thioredoxin, glutaredoxin, glutathion
NCU08112	cyp450-18	32.07.01	detoxification involving cytochrome P450
NCU02515	None	14.13.04.02	vacuolar protein degradation
NCU02515	None	70.25	vacuole or lysosome
NCU11357	None	11.04.03.01	splicing
NCU05805	cbs-2	01.01	amino acid metabolism
NCU03693	None	01.06.02.02	glycolipid metabolism
NCU07004	None	14.01	protein folding and stabilization
NCU00943	tre-1	01.05	C-compound and carbohydrate metabolism
NCU00943	tre-1	02.19	metabolism of energy reserves (e.g. glycogen, trehalose)
NCU00943	tre-1	70.01	cell wall
NCU08743	rad88	01.04.04	regulation of phosphate metabolism
NCU08743	rad88	20.01.01.07.07	phosphate transport
NCU08652	None	11.02.03.04.01	transcription activation
NCU03906	None	14.13	protein/peptide degradation
NCU02044	None	16.19.05	GTP binding
NCU02044	None	30.01	cellular signalling
NCU01419	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU08272	None	01.05	C-compound and carbohydrate metabolism
NCU08272	None	20.01.15	electron transport
NCU08272	None	70.16	mitochondrion
NCU09175	gh17-3	01.05.03	polysaccharide metabolism
NCU03026	gh18-3	01.05.09.04	aminosaccharide anabolism
NCU03026	gh18-3	01.05.09.07	aminosaccharide catabolism
NCU08054	gh3-2	01.05.03	polysaccharide metabolism
NCU00193	gt22-1	01.06	lipid, fatty acid and isoprenoid metabolism
NCU00193	gt22-1	42.01	cell wall
NCU00193	gt22-1	70.07	endoplasmic reticulum
NCU05342	None	01.02.07	regulation of nitrogen, sulfur and selenium metabolism
NCU07732	arg-2	01.01.03.05.01	biosynthesis of arginine
NCU07732	arg-2	01.01.03.05.02	degradation of arginine
NCU07732	arg-2	70.16	mitochondrion
NCU09707	cpn-8	12.04.01	translation initiation
NCU01381	None	32.05.01	resistance proteins
NCU05261	spr-1	14.13	protein/peptide degradation
NCU05261	spr-1	32.01.05	heat shock response
NCU05261	spr-1	70.16	mitochondrion
NCU07702	None	20.01.03	C-compound and carbohydrate transport
NCU04504	drh-17	11.04.03.11	control of mRNA stability
NCU04504	drh-17	70.03	cytoplasm
NCU04504	drh-17	70.10	nucleus
NCU04370	None	14.07.05	modification by ubiquitination, deubiquitination
NCU03799	msp-24	11.02.03	mRNA synthesis
NCU07381	None	10.01.05.01	DNA repair
NCU07381	None	70.10	nucleus
NCU04902	trm-5	20.03.02.03	antiporter
NCU04902	trm-5	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)
NCU04902	trm-5	34.01.01.03	homeostasis of protons
NCU01728	None	01.05	C-compound and carbohydrate metabolism
NCU01728	None	01.05.25	regulation of C-compound and carbohydrate metabolism
NCU01728	None	70.03	cytoplasm
NCU08287	pyr-3	01.01.03.05.01	biosynthesis of arginine
NCU08287	pyr-3	01.03.04	pyrimidine nucleotide/nucleoside/nucleobase metabolism
NCU00028	None	01.05	C-compound and carbohydrate metabolism
NCU09911	None	01.03.01	purin nucleotide/nucleoside/nucleobase metabolism
NCU09012	None	16.19.03	ATP binding
NCU09012	None	20.01.27	drug/toxin transport
NCU09012	None	20.03.25	ABC transporters
NCU09012	None	20.09.13	vacuolar/lysosomal transport
NCU09012	None	32.07.05	detoxification by export
NCU09012	None	70.25	vacuole or lysosome
NCU05410	arg-5	01.01	amino acid metabolism
NCU08131	gh13-1	01.05.03	polysaccharide metabolism
NCU02289	None	14.07.05	modification by ubiquitination, deubiquitination
NCU02289	None	14.13.01	cytoplasmic and nuclear protein degradation
NCU07130	gh10-4	01.05.03	polysaccharide metabolism
NCU10030	None	01.04.04	regulation of phosphate metabolism
NCU10030	None	01.05.03	polysaccharide metabolism
NCU00481	mpr-5	14.13	protein/peptide degradation
NCU00481	mpr-5	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins
NCU05780	gst-1	01.02.07	regulation of nitrogen, sulfur and selenium metabolism
NCU05780	gst-1	01.20.37.01	metabolism of thioredoxin, glutaredoxin, glutathion
NCU05780	gst-1	32.07.07.03	glutathione conjugation reaction
NCU03788	cys-19	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU05651	tap-1	70.01	cell wall
NCU05651	tap-1	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU02137	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU06563	pp2A	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU07414	djc-4	14.04	protein targeting, sorting and translocation
NCU07414	djc-4	20.01.10	protein transport
NCU07414	djc-4	20.09.04	mitochondrial transport
NCU03274	None	40.01	cell growth / morphogenesis
NCU03274	None	70.10	nucleus
NCU03177	None	14.10	assembly of protein complexes
NCU03177	None	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)
NCU03177	None	70.16	mitochondrion
NCU05089	None	20.01.03	C-compound and carbohydrate transport
NCU05089	None	20.03	transport facilities
NCU01965	un-3	12.10	aminoacyl-tRNA-synthetases
NCU04801	csy	01.20.35	metabolism of secondary products derived from L-phenylalanine and L-tyrosine
NCU03235	cys-13	01.02	nitrogen, sulfur and selenium metabolism
NCU03235	cys-13	20.01.01.07.05	sulfate/sulfite transport
NCU03235	cys-13	20.09.18	cellular import
NCU03235	cys-13	34.01.03.01	homeostasis of sulfate
NCU09700	cpn-6	14.01	protein folding and stabilization
NCU09700	cpn-6	70.03	cytoplasm
NCU05942	pca-3	14.13.01	cytoplasmic and nuclear protein degradation
NCU12075	None	01.20.33	metabolism of secondary products derived from L-tryptophan
NCU03546	None	11.02.03.04	transcriptional control
NCU02754	ckb-2	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU02754	ckb-2	30.01.05	enzyme mediated signal transduction
NCU02754	ckb-2	34.11.11	rhythm (e.g. circadian, ultradian)
NCU09128	None	11.04.02	tRNA processing
NCU09128	None	11.04.03	mRNA processing (splicing, 5'-, 3'-end processing)
NCU07121	None	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins
NCU07121	None	40.01	cell growth / morphogenesis
NCU07005	gh76-9	01.05.03	polysaccharide metabolism
NCU07072	gt35-1	01.06.06.11	tetracyclic and pentacyclic triterpenes (cholesterin, steroids and hopanoids) metabolism
NCU03095	None	11.02.03.01	general transcription activities
NCU03095	None	70.10	nucleus
NCU09107	None	14.10	assembly of protein complexes
NCU06354	None	11.04.03.01	splicing
NCU06354	None	70.10	nucleus
NCU03217	None	11.04.03.01	splicing
NCU03394	mrp-15	12.01	ribosome biogenesis
NCU03394	mrp-15	70.16	mitochondrion
NCU12069	None	01.03.04.03	pyrimidine nucleotide/nucleoside/nucleobase anabolism
NCU10063	None	01.05	C-compound and carbohydrate metabolism
NCU11363	None	01.20	secondary metabolism
NCU03659	prk-3	10.03.01	mitotic cell cycle and cell cycle control
NCU03659	prk-3	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU03659	prk-3	30.01	cellular signalling
NCU03659	prk-3	70.10	nucleus
NCU05689	cox-4	02.11	electron transport and membrane-associated energy conservation
NCU05689	cox-4	02.13	respiration
NCU05689	cox-4	70.16	mitochondrion
NCU02706	sna-2	14.04	protein targeting, sorting and translocation
NCU02706	sna-2	20.09.07	vesicular transport (Golgi network, etc.)
NCU02706	sna-2	70.08	Golgi
NCU09042	gh2-5	01.05.02.07	sugar, glucoside, polyol and carboxylate catabolism
NCU09223	None	14.01	protein folding and stabilization
NCU09223	None	14.07	protein modification
NCU09223	None	20.01.13	lipid/fatty acid transport
NCU09223	None	42	BIOGENESIS OF CELLULAR COMPONENTS
NCU04149	None	11.02.03	mRNA synthesis
NCU04149	None	11.04.03.01	splicing
NCU04149	None	12.04	translation
NCU04149	None	12.07	translational control
NCU04149	None	70.16	mitochondrion
NCU02702	None	01.05	C-compound and carbohydrate metabolism
NCU02702	None	02.07	pentose-phosphate pathway
NCU00668	rgf1	18.02.03	guanyl-nucleotide exchange factor (GEF)
NCU00668	rgf1	30.01.05.01.03	MAPKKK cascade
NCU00668	rgf1	40.01.03	directional cell growth (morphogenesis)
NCU00668	rgf1	42.01	cell wall
NCU01731	ve-1	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins
NCU01731	ve-1	43.01.03	fungal and other eukaryotic cell type differentiation
NCU09580	None	20.01.27	drug/toxin transport
NCU09580	None	20.09.16	cellular export and secretion
NCU09580	None	32.05.01	resistance proteins
NCU09580	None	32.07.05	detoxification by export
NCU03319	vtr-2	70.07	endoplasmic reticulum
NCU08535	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU07737	None	01.20	secondary metabolism
NCU01371	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU00896	dot	20.09.07	vesicular transport (Golgi network, etc.)
NCU00896	dot	20.09.16.09.03	exocytosis
NCU03292	pmr-1	20.01.01.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)
NCU03292	pmr-1	20.03.22	transport ATPases
NCU03292	pmr-1	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)
NCU00088	None	01.04	phosphate metabolism
NCU00088	None	01.20	secondary metabolism
NCU00088	None	70.03	cytoplasm
NCU06812	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU08055	zip-1	11.02.03.04	transcriptional control
NCU08055	zip-1	16.03.01	DNA binding
NCU00843	ad-9	01.03.01	purin nucleotide/nucleoside/nucleobase metabolism
NCU00843	ad-9	70.03	cytoplasm
NCU01328	None	02.07	pentose-phosphate pathway
NCU04771	None	14.07	protein modification
NCU06881	None	01.05	C-compound and carbohydrate metabolism
NCU06881	None	70.16	mitochondrion
NCU01810	mic-7	20.09.04	mitochondrial transport
NCU01810	mic-7	70.16	mitochondrion
NCU00720	tca-17	01.05	C-compound and carbohydrate metabolism
NCU00720	tca-17	02.01	glycolysis and gluconeogenesis
NCU01751	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU00609	gt32-3	01.05	C-compound and carbohydrate metabolism
NCU00609	gt32-3	14.07.02	modification with sugar residues (e.g. glycosylation, deglycosylation)
NCU08875	None	11.02.03.04	transcriptional control
NCU08875	None	16.01	protein binding
NCU05708	None	01.05.11.07.01	aerobic aromate catabolism
NCU07408	po	12.01.01	ribosomal proteins
NCU07408	po	16.07	structural protein binding
NCU07408	po	70.03	cytoplasm
NCU08512	hsf-1	16.03.01	DNA binding
NCU08512	hsf-1	32.01.05	heat shock response
NCU09254	msp-44	11.02.03	mRNA synthesis
NCU05485	ckb-1	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU05485	ckb-1	30.01.05.01	protein kinase
NCU05485	ckb-1	34.11.11	rhythm (e.g. circadian, ultradian)
NCU04448	cpn-1	14.01	protein folding and stabilization
NCU04448	cpn-1	70.03	cytoplasm
NCU08057	None	01.20.17.09	metabolism of alkaloids
NCU02268	sec34	20.09.07	vesicular transport (Golgi network, etc.)
NCU02268	sec34	42.08	Golgi
NCU02268	sec34	70.08	Golgi
NCU02250	oli	02.11	electron transport and membrane-associated energy conservation
NCU02250	oli	02.13	respiration
NCU02250	oli	70.16	mitochondrion
NCU06756	None	14.07.05	modification by ubiquitination, deubiquitination
NCU06756	None	18.01.01	regulation by modification
NCU03497	trm-51	20.01.01.01.01	heavy metal ion transport (Cu+, Fe3+, etc.)
NCU03497	trm-51	20.03	transport facilities
NCU03497	trm-51	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)
NCU00713	nic-8	01.02.02.09	catabolism of nitrogenous compounds
NCU06314	paa-7	11.04.03.05	3'-end processing
NCU06314	paa-7	70.10	nucleus
NCU07831	eif3c	12.04.01	translation initiation
NCU09663	ce5-1	01.05.03	polysaccharide metabolism
NCU09663	ce5-1	16.05	polysaccharide binding
NCU12046	cbs-4	01.05	C-compound and carbohydrate metabolism
NCU01883	None	10	CELL CYCLE AND DNA PROCESSING
NCU01883	None	32.01.11	nutrient starvation response
NCU02693	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU05363	rpt-6	14.13	protein/peptide degradation
NCU00438	None	01.03.01	purin nucleotide/nucleoside/nucleobase metabolism
NCU07489	pzl-1	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU07246	div-11	10.03.01	mitotic cell cycle and cell cycle control
NCU07246	div-11	16.03.01	DNA binding
NCU04639	None	20.09.16	cellular export and secretion
NCU07914	pgk	01.05	C-compound and carbohydrate metabolism
NCU07914	pgk	02.01	glycolysis and gluconeogenesis
NCU07914	pgk	70.03	cytoplasm
NCU05770	cat-2	32.07.07.01	catalase reaction
NCU02534	nuo49	02.11	electron transport and membrane-associated energy conservation
NCU08669	None	02.16	fermentation
NCU07071	None	32.01.11	nutrient starvation response
NCU07071	None	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins
NCU03639	tgl-1	01.06	lipid, fatty acid and isoprenoid metabolism
NCU01571	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU01571	None	14.07	protein modification
NCU10847	ngf-1	10.01.09.05	DNA conformation modification (e.g. chromatin)
NCU10847	ngf-1	11.02.03.04	transcriptional control
NCU10847	ngf-1	14.07.04	modification by acetylation, deacetylation
NCU10847	ngf-1	70.10	nucleus
NCU04729	vib-3	01.04	phosphate metabolism
NCU08897	sec61-1	14.04	protein targeting, sorting and translocation
NCU08897	sec61-1	20.09	transport routes
NCU08882	None	01.05.11.07.01	aerobic aromate catabolism
NCU09553	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU07691	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU06923	None	14.07.11	protein processing (proteolytic)
NCU04277	thr-4	01.01	amino acid metabolism
NCU07367	rpt-4	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)
NCU07604	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU01114	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU05623	tim17	14.04	protein targeting, sorting and translocation
NCU05623	tim17	20.09.04	mitochondrial transport
NCU05623	tim17	70.16	mitochondrion
NCU04644	None	14.07.04	modification by acetylation, deacetylation
NCU09023	None	01.05.11.07.01	aerobic aromate catabolism
NCU09023	None	32.07.09	detoxification by degradation
NCU01916	mic-8	20.09.04	mitochondrial transport
NCU01916	mic-8	70.16	mitochondrion
NCU08893	mrp-17	12.01.01	ribosomal proteins
NCU09352	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU01388	mnt-1	14.07.02	modification with sugar residues (e.g. glycosylation, deglycosylation)
NCU01388	mnt-1	42.01	cell wall
NCU01388	mnt-1	70.08	Golgi
NCU07534	qde-1	11.02.03.04	transcriptional control
NCU07534	qde-1	11.04.03.11	control of mRNA stability
NCU07794	None	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups
NCU07794	None	20.01.15	electron transport
NCU07794	None	70.16	mitochondrion
NCU00919	drh-16	11.02.01	rRNA synthesis
NCU00919	drh-16	11.04.01	rRNA processing
NCU09611	fak	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU04400	None	01.05	C-compound and carbohydrate metabolism
NCU04400	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU03603	None	20.01.15	electron transport
NCU03603	None	20.03	transport facilities
NCU03603	None	70.16	mitochondrion
NCU06410	None	14.04	protein targeting, sorting and translocation
NCU06410	None	16.19.05	GTP binding
NCU06410	None	20.09.13	vacuolar/lysosomal transport
NCU06410	None	20.09.18.09.01	endocytosis
NCU00136	None	12.07	translational control
NCU00136	None	70.16	mitochondrion
NCU02701	None	14.13.01	cytoplasmic and nuclear protein degradation
NCU02701	None	16.17.09	heavy metal binding (Cu, Fe, Zn)
NCU03536	cys-3	01.02.07	regulation of nitrogen, sulfur and selenium metabolism
NCU03536	cys-3	11.02.03.04	transcriptional control
NCU07690	met-12	01.01.06.05	metabolism of methionine
NCU07690	met-12	01.02	nitrogen, sulfur and selenium metabolism
NCU07690	met-12	01.05.13.03	tetrahydrofolate-dependent C-1-transfer
NCU07690	met-12	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups
NCU07690	met-12	12.01.01	ribosomal proteins
NCU07690	met-12	16.21.07	NAD/NADP binding
NCU01830	None	01.01.09.01.01	biosynthesis of glycine
NCU01830	None	01.01.09.04.01	biosynthesis of phenylalanine
NCU01830	None	01.01.09.04.02	degradation of phenylalanine
NCU01830	None	01.01.09.05.02	degradation of tyrosine
NCU02936	None	01.01	amino acid metabolism
NCU04385	leu-2	01.01.11.04.01	biosynthesis of leucine
NCU09744	div-3	10.03.01.03	cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle)
NCU09744	div-3	70.10.04	centromere / kinetochore
NCU00466	None	12.10	aminoacyl-tRNA-synthetases
NCU03226	None	16.03.03	RNA binding
NCU05810	cpc-2	01.01.13	regulation of amino acid metabolism
NCU06384	None	20.01.03	C-compound and carbohydrate transport
NCU06384	None	20.09.18.07	non-vesicular cellular import
NCU06384	None	70.02	eukaryotic plasma membrane / membrane attached
NCU02712	None	01.05	C-compound and carbohydrate metabolism
NCU02712	None	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU04142	hsp80	14.01	protein folding and stabilization
NCU04142	hsp80	32.01	stress response
NCU03118	lys-4	01.01.06.06.01	biosynthesis of lysine
NCU03118	lys-4	01.01.06.06.02	degradation of lysine
NCU03118	lys-4	16.21.07	NAD/NADP binding
NCU03118	lys-4	70.03	cytoplasm
NCU07590	cpd-1	01.03	nucleotide/nucleoside/nucleobase metabolism
NCU00493	cvc-4	14.10	assembly of protein complexes
NCU00493	cvc-4	42.09	intracellular transport vesicles
NCU00493	cvc-4	70.03	cytoplasm
NCU08382	None	20.03.25	ABC transporters
NCU08382	None	20.09.03	peroxisomal transport
NCU07081	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU02789	None	42.10.03	organization of chromosome structure
NCU01903	None	01.20.35.01.01	metabolism of melanins
NCU08027	None	14.07	protein modification
NCU03187	nim-1	10.03.01.01.07	G2 phase of mitotic cell cycle
NCU03187	nim-1	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU03187	nim-1	30.01.05.01	protein kinase
NCU07419	None	40.10	cell death
NCU09237	None	11.02.03	mRNA synthesis
NCU09237	None	11.04.03.01	splicing
NCU09237	None	70.10	nucleus
NCU07670	cyt-19	11.04.03.01	splicing
NCU07670	cyt-19	70.16	mitochondrion
NCU03339	gtr-1	32.01	stress response
NCU03339	gtr-1	32.07	detoxification
NCU07029	None	01.05	C-compound and carbohydrate metabolism
NCU09912	None	20.01.27	drug/toxin transport
NCU09912	None	20.03.02.03	antiporter
NCU09912	None	20.09.16	cellular export and secretion
NCU08297	cdc3	10.03.01	mitotic cell cycle and cell cycle control
NCU08297	cdc3	10.03.03	cytokinesis (cell division) /septum formation and hydrolysis
NCU08297	cdc3	43.01.03.05	budding, cell polarity and filament formation
NCU07520	gh61-11	01.05.03	polysaccharide metabolism
NCU07520	gh61-11	01.25.01	extracellular polysaccharide degradation
NCU07520	gh61-11	70.27	extracellular / secretion proteins
NCU07832	msp-39	10.03.01	mitotic cell cycle and cell cycle control
NCU07832	msp-39	11.04.03.01	splicing
NCU07832	msp-39	70.10	nucleus
NCU07775	None	11.02.03.01	general transcription activities
NCU03769	naf-2	70.10	nucleus
NCU06080	None	01.20	secondary metabolism
NCU10521	None	32.07.07.03	glutathione conjugation reaction
NCU07318	None	01.05	C-compound and carbohydrate metabolism
NCU07318	None	20.03.09	phosphotransferase system
NCU02781	None	40.01	cell growth / morphogenesis
NCU02781	None	42.04.03	actin cytoskeleton
NCU02781	None	43.01.03.05	budding, cell polarity and filament formation
NCU02781	None	70.04	cytoskeleton
NCU02680	None	14.04	protein targeting, sorting and translocation
NCU02680	None	20.09.01	nuclear transport
NCU00944	thr-5	01.01.09.01.01	biosynthesis of glycine
NCU00944	thr-5	01.01.09.01.02	degradation of glycine
NCU09923	gh3-7	01.05	C-compound and carbohydrate metabolism
NCU09923	gh3-7	42.01	cell wall
NCU06256	None	11.02.01	rRNA synthesis
NCU06256	None	11.02.02	tRNA synthesis
NCU06256	None	70.10	nucleus
NCU01918	None	42.04.03	actin cytoskeleton
NCU01918	None	70.04	cytoskeleton
NCU08317	None	10.01.03.03	ori recognition and priming complex formation
NCU08317	None	70.10	nucleus
NCU03648	None	01.01.03	assimilation of ammonia, metabolism of the glutamate group
NCU07916	None	01.20	secondary metabolism
NCU07440	mus-38	10.01.05.01	DNA repair
NCU07440	mus-38	70.10	nucleus
NCU02717	msp-17	11.04.03.01	splicing
NCU02717	msp-17	14.10	assembly of protein complexes
NCU02717	msp-17	70.10	nucleus
NCU06785	None	01.06.05	fatty acid metabolism
NCU02542	emp-1	01.05	C-compound and carbohydrate metabolism
NCU02542	emp-1	02.01	glycolysis and gluconeogenesis
NCU02542	emp-1	70.03	cytoplasm
NCU03804	cna-1	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU03804	cna-1	30.01	cellular signalling
NCU11235	pod-6	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU11235	pod-6	30.01	cellular signalling
NCU08133	None	01.05	C-compound and carbohydrate metabolism
NCU04770	None	11.02.01	rRNA synthesis
NCU04770	None	11.02.02	tRNA synthesis
NCU04770	None	11.02.03	mRNA synthesis
NCU04770	None	70.10	nucleus
NCU05457	cya-4	02.13.03	aerobic respiration
NCU05457	cya-4	20.01.15	electron transport
NCU05457	cya-4	20.03	transport facilities
NCU05301	None	11.06.02	tRNA modification
NCU04460	gpu-1	01.05	C-compound and carbohydrate metabolism
NCU04460	gpu-1	70.03	cytoplasm
NCU02414	eif2B-e	12.04.01	translation initiation
NCU02414	eif2B-e	12.07	translational control
NCU02414	eif2B-e	70.03	cytoplasm
NCU05899	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU01001	None	12.01	ribosome biogenesis
NCU00721	aap-24	20.01.07	amino acid/amino acid derivatives transport
NCU00721	aap-24	20.09.18.07	non-vesicular cellular import
NCU00721	aap-24	70.02	eukaryotic plasma membrane / membrane attached
NCU03004	ace-3	01.05	C-compound and carbohydrate metabolism
NCU03004	ace-3	02.01	glycolysis and gluconeogenesis
NCU03004	ace-3	70.16	mitochondrion
NCU08093	None	02.13	respiration
NCU08093	None	02.45.15	energy generation (e.g. ATP synthase)
NCU08093	None	70.16	mitochondrion
NCU11249	None	14.07.09	posttranslational modification of amino acids (e.g. hydroxylation, methylation)
NCU11181	vtr-7	16.19.05	GTP binding
NCU11181	vtr-7	20.09.16	cellular export and secretion
NCU08352	cys-9	01.02	nitrogen, sulfur and selenium metabolism
NCU08352	cys-9	34.11.11	rhythm (e.g. circadian, ultradian)
NCU08956	None	70.08	Golgi
NCU06619	mtr	20.01.07	amino acid/amino acid derivatives transport
NCU06619	mtr	34.11.12	perception of nutrients and nutritional adaptation
NCU06619	mtr	70.02	eukaryotic plasma membrane / membrane attached
NCU02114	div-8	10.03.01	mitotic cell cycle and cell cycle control
NCU06922	None	11.04.03.01	splicing
NCU06300	None	01.03.01	purin nucleotide/nucleoside/nucleobase metabolism
NCU01014	None	32.05	disease, virulence and defense
NCU15829	None	11.02.03.04	transcriptional control
NCU15829	None	16.03.01	DNA binding
NCU06710	None	70.02	eukaryotic plasma membrane / membrane attached
NCU08886	None	01.02	nitrogen, sulfur and selenium metabolism
NCU01166	mcb	16.19.01	cyclic nucleotide binding (cAMP, cGMP, etc.)
NCU01166	mcb	30.01.09.07	cAMP/cGMP mediated signal transduction
NCU01166	mcb	40.01.03	directional cell growth (morphogenesis)
NCU01166	mcb	43.01.03	fungal and other eukaryotic cell type differentiation
NCU01166	mcb	43.01.03.05	budding, cell polarity and filament formation
NCU16631	None	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU16631	None	30.01.05	enzyme mediated signal transduction
NCU02585	None	12.10	aminoacyl-tRNA-synthetases
NCU02585	None	70.16	mitochondrion
NCU06031	rhd	32.01.01	oxidative stress response
NCU06031	rhd	32.07.07	oxygen and radical detoxification
NCU06031	rhd	70.16	mitochondrion
NCU09469	None	20.09.18.09.01	endocytosis
NCU00106	pro-4	01.01.03.03.01	biosynthesis of proline
NCU00106	pro-4	70.03	cytoplasm
NCU01414	Asm-1	10.03.01	mitotic cell cycle and cell cycle control
NCU01414	Asm-1	11.02.03.04	transcriptional control
NCU01414	Asm-1	43.01.03	fungal and other eukaryotic cell type differentiation
NCU01414	Asm-1	43.01.03.09	development of asco- basidio- or zygospore
NCU09437	rbg-1	11.04.01	rRNA processing
NCU09437	rbg-1	16.03.03	RNA binding
NCU06251	None	11.02.03.04	transcriptional control
NCU06251	None	16.03.03	RNA binding
NCU09165	None	01.05	C-compound and carbohydrate metabolism
NCU09165	None	01.20	secondary metabolism
NCU06201	None	42.01	cell wall
NCU02956	apr-4	14.13	protein/peptide degradation
NCU08126	None	01.05	C-compound and carbohydrate metabolism
NCU08126	None	02.16.03	lactate fermentation
NCU08126	None	20.01.15	electron transport
NCU08126	None	70.16	mitochondrion
NCU07944	None	02.07	pentose-phosphate pathway
NCU02829	sec53	01.05	C-compound and carbohydrate metabolism
NCU01252	None	11.02.03.04	transcriptional control
NCU02713	csp-1	11.02.03.04.03	transcription repression
NCU02599	None	70.07	endoplasmic reticulum
NCU02599	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU07231	None	70.02	eukaryotic plasma membrane / membrane attached
NCU07231	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU06429	None	42.04.03	actin cytoskeleton
NCU06429	None	70.04.03	actin cytoskeleton
NCU03024	None	20.09.07	vesicular transport (Golgi network, etc.)
NCU03024	None	70.08	Golgi
NCU03151	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU07058	rbg-21	11.04.01	rRNA processing
NCU07058	rbg-21	16.03.03	RNA binding
NCU02283	camk-2	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU02283	camk-2	30.01.05	enzyme mediated signal transduction
NCU02283	camk-2	34.11.11	rhythm (e.g. circadian, ultradian)
NCU04302	None	10.03.01	mitotic cell cycle and cell cycle control
NCU04302	None	14.13	protein/peptide degradation
NCU02335	None	32.05.05.01	toxins
NCU00564	mrp-3	12.01.01	ribosomal proteins
NCU00564	mrp-3	70.16	mitochondrion
NCU07509	cdc43	01.06	lipid, fatty acid and isoprenoid metabolism
NCU07509	cdc43	14.07.01	modification with fatty acids (e.g. myristylation, palmitylation, farnesylation)
NCU07509	cdc43	30.01	cellular signalling
NCU04802	pex11	42.19	peroxisome
NCU02970	None	14.01	protein folding and stabilization
NCU02970	None	32.01	stress response
NCU04443	None	01.05	C-compound and carbohydrate metabolism
NCU02097	None	01.05	C-compound and carbohydrate metabolism
NCU04788	None	16.19	nucleotide/nucleoside/nucleobase binding
NCU04788	None	70.10	nucleus
NCU06950	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU00782	None	20.01.23	allantoin and allantoate transport
NCU00782	None	20.03	transport facilities
NCU00782	None	20.09.18	cellular import
NCU00782	None	70.02	eukaryotic plasma membrane / membrane attached
NCU12024	None	11.02.03.04	transcriptional control
NCU12024	None	16.03.01	DNA binding
NCU08275	None	01.01.09.04.01	biosynthesis of phenylalanine
NCU08275	None	01.01.09.04.02	degradation of phenylalanine
NCU08275	None	01.01.09.05.01	biosynthesis of tyrosine
NCU08275	None	01.01.09.05.02	degradation of tyrosine
NCU08275	None	01.01.09.06.01	biosynthesis of tryptophan
NCU08275	None	01.01.09.06.02	degradation of tryptophan
NCU08275	None	01.01.09.07.01	biosynthesis of histidine
NCU05118	vma-10	20.03.22	transport ATPases
NCU05118	vma-10	70.25	vacuole or lysosome
