OldLocus	OldGeneID	NewGeneID	NewLocus	PathwayID	PathwayName	URL
NCU05924.5	7000006085086833	7000007580570005	NCU05924.7	PWY2T-10	xylan degradation
NCU04008.5	7000006085024518	7000007580573003	NCU04008.7	PWY2T-14	aerobic xylose fermentation
NCU04008.5	7000006085024518	7000007580573003	NCU04008.7	PWY2T-15	aerobic xylose fermentation
NCU04008.5	7000006085024518	7000007580573003	NCU04008.7	PWY2T-2574	aerobic respiration
NCU04013.5	7000006085024245	7000007580563675	NCU04013.7	PWY-6681	neurosporaxanthin biosynthesis
NCU04077.5	7000006085078069	7000007580575871	NCU04077.7	SO4ASSIM-PWY	sulfate reduction I (assimilatory)
NCU04077.5	7000006085078069	7000007580575871	NCU04077.7	SO4ASSIM-PWY-1	sulfate reduction I (assimilatory) - variant
NCU04098.5	7000006085001002	7000007580584621	NCU04098.7	GLUT-REDOX-PWY	glutathione redox reactions II
NCU04098.5	7000006085001002	7000007580584621	NCU04098.7	PWY2T-25	protein translation
NCU04098.5	7000006085001002	7000007580584621	NCU04098.7	PWY0-166	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
NCU04098.5	7000006085001002	7000007580584621	NCU04098.7	PWY-6126-1	adenosine nucleotides <i>de novo</i> biosynthesis
NCU04156.5	7000006085008898	7000007580554279	NCU04156.7	PWY-6075	ergosterol biosynthesis
NCU04393.5	7000006085018021	7000007580573307	NCU04393.7	PWY-5177	glutaryl-CoA degradation
NCU04454.5	7000006085019644	7000007580575942	NCU04454.7	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis
NCU04481.5	7000006085018549	7000007580583861	NCU04481.7	PWY2T-14	aerobic xylose fermentation
NCU04481.5	7000006085018549	7000007580583861	NCU04481.7	PWY2T-15	aerobic xylose fermentation
NCU04481.5	7000006085018549	7000007580583861	NCU04481.7	PWY2T-2574	aerobic respiration
NCU04569.5	7000006084957168	7000007580546574	NCU04569.7	PWY-4041	&gamma;-glutamyl cycle
NCU04594.5	7000006084962713	7000007580567851	NCU04594.7	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)
NCU04736.5	7000006085083915	7000007580549253	NCU04736.7	PWY-6188	calmodulin regulated calcium transport
NCU04753.5	7000006085081126	7000007580553311	NCU04753.7	PWY-4302	aerobic respiration -- electron donor III
NCU04753.5	7000006085081126	7000007580553311	NCU04753.7	PWY2T-14	aerobic xylose fermentation
NCU04753.5	7000006085081126	7000007580553311	NCU04753.7	PWY2T-15	aerobic xylose fermentation
NCU04753.5	7000006085081126	7000007580553311	NCU04753.7	PWY2T-2574	aerobic respiration
NCU04753.5	7000006085081126	7000007580553311	NCU04753.7	PWY-3781	aerobic respiration -- electron donor II
NCU04753.5	7000006085081126	7000007580553311	NCU04753.7	PWY2T-21	redox potential pathway
NCU04781.5	7000006085082976	7000007580570014	NCU04781.7	PWY-4302	aerobic respiration -- electron donor III
NCU04781.5	7000006085082976	7000007580570014	NCU04781.7	PWY2T-14	aerobic xylose fermentation
NCU04781.5	7000006085082976	7000007580570014	NCU04781.7	PWY2T-15	aerobic xylose fermentation
NCU04781.5	7000006085082976	7000007580570014	NCU04781.7	PWY2T-2574	aerobic respiration
NCU04781.5	7000006085082976	7000007580570014	NCU04781.7	PWY-3781	aerobic respiration -- electron donor II
NCU04781.5	7000006085082976	7000007580570014	NCU04781.7	PWY2T-21	redox potential pathway
NCU04963.5	7000006085023399	7000007580563896	NCU04963.7	PWY2T-42	cellulose degradation III (neurospora)
NCU04963.5	7000006085023399	7000007580563896	NCU04963.7	PWY2T-7	cellulose degradation
NCU05008.5	7000006085086054	7000007580583723	NCU05008.7	PWY-5366	palmitoleate biosynthesis II
NCU05008.5	7000006085086054	7000007580583723	NCU05008.7	PWY-5989	stearate biosynthesis II (plants)
NCU05008.5	7000006085086054	7000007580583723	NCU05008.7	PWY-6012	acyl carrier protein metabolism
NCU05008.5	7000006085086054	7000007580583723	NCU05008.7	PWY-5994	palmitate biosynthesis I (animals)
NCU05008.5	7000006085086054	7000007580583723	NCU05008.7	PWY-5147	oleate biosynthesis I (plants)
NCU05008.5	7000006085086054	7000007580583723	NCU05008.7	PWY-5142	acyl-ACP thioesterase pathway
NCU05008.5	7000006085086054	7000007580583723	NCU05008.7	PWY-5966	fatty acid biosynthesis initiation II
NCU05014.5	7000006085085603	7000007580583669	NCU05014.7	THISYNARA-PWY	thiamine biosynthesis II
NCU05014.5	7000006085085603	7000007580583669	NCU05014.7	PWY3O-17	thiamine biosynthesis
NCU05046.5	7000006085087962	7000007580588554	NCU05046.7	PWY-6166	calcium transport I
NCU05093.5	7000006085086553	7000007580575837	NCU05093.7	PWY-801	homocysteine and cysteine interconversion
NCU05093.5	7000006085086553	7000007580575837	NCU05093.7	PWY2T-24	cysteine and methionine metabolism
NCU05220.5	7000006085021519	7000007580557277	NCU05220.7	PWY2T-14	aerobic xylose fermentation
NCU05220.5	7000006085021519	7000007580557277	NCU05220.7	PWY2T-15	aerobic xylose fermentation
NCU05220.5	7000006085021519	7000007580557277	NCU05220.7	PWY2T-2574	aerobic respiration
NCU05221.5	7000006085021514	7000007580573547	NCU05221.7	PWY-4302	aerobic respiration -- electron donor III
NCU05221.5	7000006085021514	7000007580573547	NCU05221.7	PWY2T-14	aerobic xylose fermentation
NCU05221.5	7000006085021514	7000007580573547	NCU05221.7	PWY2T-15	aerobic xylose fermentation
NCU05221.5	7000006085021514	7000007580573547	NCU05221.7	PWY2T-2574	aerobic respiration
NCU05221.5	7000006085021514	7000007580573547	NCU05221.7	PWY-3781	aerobic respiration -- electron donor II
NCU05221.5	7000006085021514	7000007580573547	NCU05221.7	PWY2T-21	redox potential pathway
NCU05299.5	7000006085022205	7000007580553544	NCU05299.7	PWY-4302	aerobic respiration -- electron donor III
NCU05299.5	7000006085022205	7000007580553544	NCU05299.7	PWY2T-14	aerobic xylose fermentation
NCU05299.5	7000006085022205	7000007580553544	NCU05299.7	PWY2T-15	aerobic xylose fermentation
NCU05299.5	7000006085022205	7000007580553544	NCU05299.7	PWY2T-2574	aerobic respiration
NCU05299.5	7000006085022205	7000007580553544	NCU05299.7	PWY-3781	aerobic respiration -- electron donor II
NCU05299.5	7000006085022205	7000007580553544	NCU05299.7	PWY2T-21	redox potential pathway
NCU05404.5	7000006085098358	7000007580572794	NCU05404.7	PWY2T-7	cellulose degradation
NCU05404.5	7000006085098358	7000007580572794	NCU05404.7	PWY-6788	cellulose degradation II (fungi)
NCU05404.5	7000006085098358	7000007580572794	NCU05404.7	PWY2T-42	cellulose degradation III (neurospora)
NCU05457.5	7000006085088333	7000007580556581	NCU05457.7	PWY2T-14	aerobic xylose fermentation
NCU05457.5	7000006085088333	7000007580556581	NCU05457.7	PWY2T-15	aerobic xylose fermentation
NCU05457.5	7000006085088333	7000007580556581	NCU05457.7	PWY2T-2574	aerobic respiration
NCU05457.5	7000006085088333	7000007580556581	NCU05457.7	PWY-3781	aerobic respiration -- electron donor II
NCU05457.5	7000006085088333	7000007580556581	NCU05457.7	PWY2T-21	redox potential pathway
NCU05542.5	7000006085077065	7000007580580967	NCU05542.7	SALVADEHYPOX-PWY	salvage pathways of adenine, hypoxanthine, and their nucleosides
NCU05542.5	7000006085077065	7000007580580967	NCU05542.7	SALVPURINE2-PWY	salvage pathways of guanine, xanthine, and their nucleosides
NCU05624.5	7000006085076727	7000007580563758	NCU05624.7	ASPARAGINE-DEG1-PWY	asparagine degradation I
NCU05627.5	7000006085024385	7000007580586191	NCU05627.7	PWY2T-7	cellulose degradation
NCU05731.5	7000006085196543	7000007580584800	NCU05731.7	PWY0-166	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
NCU05731.5	7000006085196543	7000007580584800	NCU05731.7	PWY-6126-1	adenosine nucleotides <i>de novo</i> biosynthesis
NCU05731.5	7000006085196543	7000007580584800	NCU05731.7	P164-PWY	purine nucleotides degradation III (anaerobic)
NCU05731.5	7000006085196543	7000007580584800	NCU05731.7	SO4ASSIM-PWY-1	sulfate reduction I (assimilatory) - variant
NCU05731.5	7000006085196543	7000007580584800	NCU05731.7	SO4ASSIM-PWY	sulfate reduction I (assimilatory)
NCU05731.5	7000006085196543	7000007580584800	NCU05731.7	PWY2T-25	protein translation
NCU05731.5	7000006085196543	7000007580584800	NCU05731.7	THIOREDOX-PWY	thioredoxin pathway
NCU05752.5	7000006085100523	7000007580574412	NCU05752.7	PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
NCU05752.5	7000006085100523	7000007580574412	NCU05752.7	PWY-6309	tryptophan degradation XI (mammalian, via kynurenine)
NCU05843.5	7000006085099397	7000007580547806	NCU05843.7	PWY-5986	ammonium transport
NCU05851.5	7000006085099369	7000007580539701	NCU05851.7	PWY-5754	4-hydroxybenzoate biosynthesis I (animals)
NCU05853.5	7000006085099359	7000007580558969	NCU05853.7	PWY2T-10	xylan degradation
NCU05882.5	7000006085101483	7000007580562297	NCU05882.7	PWY2T-7	cellulose degradation
NCU05882.5	7000006085101483	7000007580562297	NCU05882.7	PWY-6788	cellulose degradation II (fungi)
NCU05882.5	7000006085101483	7000007580562297	NCU05882.7	PWY2T-42	cellulose degradation III (neurospora)
NCU06017.5	7000006085102003	7000007580539823	NCU06017.7	SO4ASSIM-PWY-1	sulfate reduction I (assimilatory) - variant
NCU06017.5	7000006085102003	7000007580539823	NCU06017.7	PWY-5350	thiosulfate disproportionation III (rhodanese)
NCU06029.5	7000006085100328	7000007580579790	NCU06029.7	COA-PWY	coenzyme A biosynthesis
NCU06063.5	7000006085101404	7000007580555097	NCU06063.7	PWY2T-2575	linoleate biosynthesis II (neurospora)
NCU06063.5	7000006085101404	7000007580555097	NCU06063.7	PWY2T-2576	&alpha;-linolenate biosynthesis II (neurospora)
NCU06063.5	7000006085101404	7000007580555097	NCU06063.7	FAO-PWY	fatty acid &beta;-oxidation I
NCU06063.5	7000006085101404	7000007580555097	NCU06063.7	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU06063.5	7000006085101404	7000007580555097	NCU06063.7	PWY-5972	stearate biosynthesis I (animals)
NCU06063.5	7000006085101404	7000007580555097	NCU06063.7	PWY-5143	fatty acid activation
NCU06110.5	7000006085102169	7000007580548099	NCU06110.7	THISYNARA-PWY	thiamine biosynthesis II
NCU06110.5	7000006085102169	7000007580548099	NCU06110.7	PWY3O-17	thiamine biosynthesis
NCU06112.5	7000006085102188	7000007580562221	NCU06112.7	GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
NCU06207.5	7000006085202522	7000007580543080	NCU06207.7	PWY-6075	ergosterol biosynthesis
NCU06358.5	7000006085018457	7000007580563984	NCU06358.7	PWY2T-7	cellulose degradation
NCU06549.5	7000006085023458	7000007580586564	NCU06549.7	PWY-6466	pyridoxal 5'-phosphate biosynthesis II
NCU06550.5	7000006085023462	7000007580567500	NCU06550.7	PWY-6466	pyridoxal 5'-phosphate biosynthesis II
NCU06552.5	7000006085023468	7000007580563947	NCU06552.7	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis
NCU06559.5	7000006085012004	7000007580573216	NCU06559.7	VALDEG-PWY	valine degradation I
NCU06613.5	7000006085018295	7000007580578682	NCU06613.7	PWY-5986	ammonium transport
NCU06694.5	7000006084998121	7000007580579206	NCU06694.7	PWY2T-27	fatty acid elongation
NCU06779.5	7000006085094291	7000007580559949	NCU06779.7	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis
NCU06783.5	7000006085094212	7000007580569596	NCU06783.7	PWY-5172	acetyl-CoA biosynthesis (from citrate)
NCU06804.5	7000006085092953	7000007580578036	NCU06804.7	PWY-5418	phenol degradation I (aerobic)
NCU06931.5	7000006085102926	7000007580555181	NCU06931.7	PWY-5326	sulfite oxidation IV
NCU07153.5	7000006084989108	7000007580557494	NCU07153.7	PWY-4041	&gamma;-glutamyl cycle
NCU07156.5	7000006084988993	7000007580567526	NCU07156.7	HISTSYN-PWY	histidine biosynthesis
NCU07169.5	7000006084988673	7000007580574004	NCU07169.7	PWY2T-7	cellulose degradation
NCU07263.5	7000006085019820	7000007580570385	NCU07263.7	PWY-6111-1	mitochondrial L-carnitine shuttle pathway II (fungi)
NCU07300.5	7000006085022090	7000007580578773	NCU07300.7	ASPARAGINE-BIOSYNTHESIS	asparagine biosynthesis I
NCU07472.5	7000006085179344	7000007580585282	NCU07472.7	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis
NCU07483.5	7000006085176453	7000007580565690	NCU07483.7	OXIDATIVEPENT-PWY-1	pentose phosphate pathway (oxidative branch)
NCU07483.5	7000006085176453	7000007580565690	NCU07483.7	OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)
NCU07531.5	7000006085206353	7000007580576928	NCU07531.7	PWY-6137	copper transport II
NCU07585.5	7000006085018121	7000007580570204	NCU07585.7	PWY-5194	siroheme biosynthesis
NCU07610.5	7000006085022694	7000007580541970	NCU07610.7	PWY0-981	taurine degradation IV
NCU07682.5	7000006085015404	7000007580584269	NCU07682.7	GLUTORN-PWY	ornithine biosynthesis
NCU07682.5	7000006085015404	7000007580584269	NCU07682.7	ARGSYNBSUB-PWY-1	arginine biosynthesis II (acetyl cycle)
NCU07737.5	7000006084975984	7000007580587006	NCU07737.7	PWY-6183	salicylate degradation I
NCU07756.5	7000006084977790	7000007580582107	NCU07756.7	PWY-4302	aerobic respiration -- electron donor III
NCU07756.5	7000006084977790	7000007580582107	NCU07756.7	PWY-5690	TCA cycle variation III (eukaryotic)
NCU07756.5	7000006084977790	7000007580582107	NCU07756.7	PWY-3781	aerobic respiration -- electron donor II
NCU07756.5	7000006084977790	7000007580582107	NCU07756.7	PWY-561	superpathway of glyoxylate cycle
NCU07761.5	7000006084977635	7000007580550326	NCU07761.7	SPHINGOLIPID-SYN-PWY	sphingolipid metabolism
NCU07761.5	7000006084977635	7000007580550326	NCU07761.7	PWY2T-23	sphingolipid metabolism (Neurosospora)
NCU07819.5	7000006085196722	7000007580579589	NCU07819.7	PWY0-981	taurine degradation IV
NCU07836.5	7000006085197024	7000007580538929	NCU07836.7	PANTO-PWY	pantothenate biosynthesis I
NCU07898.5	7000006085018832	7000007580553436	NCU07898.7	PWY2T-7	cellulose degradation
NCU07898.5	7000006085018832	7000007580553436	NCU07898.7	PWY-6788	cellulose degradation II (fungi)
NCU07898.5	7000006085018832	7000007580553436	NCU07898.7	PWY2T-42	cellulose degradation III (neurospora)
NCU07916.5	7000006085018262	7000007580584190	NCU07916.7	PWY-5418	phenol degradation I (aerobic)
NCU07919.5	7000006085018250	7000007580567424	NCU07919.7	PWY-5426	betaxanthin biosynthesis
NCU07953.5	7000006085013233	7000007580549719	NCU07953.7	PWY-4302	aerobic respiration -- electron donor III
NCU07966.5	7000006085013000	7000007580584165	NCU07966.7	PWY-6166	calcium transport I
NCU07974.5	7000006085020249	7000007580549954	NCU07974.7	PWY2T-7	cellulose degradation
NCU07974.5	7000006085020249	7000007580549954	NCU07974.7	PWY-6788	cellulose degradation II (fungi)
NCU07974.5	7000006085020249	7000007580549954	NCU07974.7	PWY2T-42	cellulose degradation III (neurospora)
NCU07987.5	7000006085020784	7000007580570372	NCU07987.7	PWY-801	homocysteine and cysteine interconversion
NCU07987.5	7000006085020784	7000007580570372	NCU07987.7	PWY2T-24	cysteine and methionine metabolism
NCU08058.5	7000006085104587	7000007580582491	NCU08058.7	PWY-5177	glutaryl-CoA degradation
NCU08114.5	7000006085106229	7000007580540674	NCU08114.7	PWY2T-42	cellulose degradation III (neurospora)
NCU08152.5	7000006085099936	7000007580558825	NCU08152.7	PWY2T-7	cellulose degradation
NCU08180.5	7000006085101737	7000007580539534	NCU08180.7	PWY2T-7	cellulose degradation
NCU08375.5	7000006085174853	7000007580582807	NCU08375.7	PWY-5354	molybdenum cofactor biosynthesis
NCU08471.5	7000006085097183	7000007580556486	NCU08471.7	PWY-5690	TCA cycle variation III (eukaryotic)
NCU08549.5	7000006085204324	7000007580558465	NCU08549.7	PWY-6317	galactose degradation I (Leloir pathway)
NCU08719.5	7000006085098271	7000007580559999	NCU08719.7	PWY-5921	L-glutamine biosynthesis II (tRNA-dependent)
NCU08760.5	7000006085196081	7000007580561439	NCU08760.7	PWY2T-7	cellulose degradation
NCU08760.5	7000006085196081	7000007580561439	NCU08760.7	PWY-6788	cellulose degradation II (fungi)
NCU08760.5	7000006085196081	7000007580561439	NCU08760.7	PWY2T-42	cellulose degradation III (neurospora)
NCU08877.5	7000006084974106	7000007580561134	NCU08877.7	PWY-3841	formylTHF biosynthesis II
NCU08877.5	7000006084974106	7000007580561134	NCU08877.7	PWY-2201	folate transformations
NCU08877.5	7000006084974106	7000007580561134	NCU08877.7	1CMET2-PWY	formylTHF biosynthesis I
NCU08877.5	7000006084974106	7000007580561134	NCU08877.7	PWY2T-24	cysteine and methionine metabolism
NCU08924.5	7000006085011053	7000007580557901	NCU08924.7	FAO-PWY	fatty acid &beta;-oxidation I
NCU08924.5	7000006085011053	7000007580557901	NCU08924.7	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU08925.5	7000006085011070	7000007580542853	NCU08925.7	PWY-5760	&beta;-alanine biosynthesis V
NCU08927.5	7000006085011095	7000007580538087	NCU08927.7	PWY3DJ-12	ceramide biosynthesis
NCU08940.5	7000006084988615	7000007580538896	NCU08940.7	PWY2T-14	aerobic xylose fermentation
NCU08940.5	7000006084988615	7000007580538896	NCU08940.7	PWY2T-15	aerobic xylose fermentation
NCU08940.5	7000006084988615	7000007580538896	NCU08940.7	PWY2T-2574	aerobic respiration
NCU08940.5	7000006084988615	7000007580538896	NCU08940.7	PWY-3781	aerobic respiration -- electron donor II
NCU08940.5	7000006084988615	7000007580538896	NCU08940.7	PWY2T-21	redox potential pathway
NCU08947.5	7000006084991397	7000007580542789	NCU08947.7	PWY2T-14	aerobic xylose fermentation
NCU08947.5	7000006084991397	7000007580542789	NCU08947.7	PWY2T-15	aerobic xylose fermentation
NCU08947.5	7000006084991397	7000007580542789	NCU08947.7	PWY2T-2574	aerobic respiration
NCU08947.5	7000006084991397	7000007580542789	NCU08947.7	PWY-3781	aerobic respiration -- electron donor II
NCU08947.5	7000006084991397	7000007580542789	NCU08947.7	PWY2T-21	redox potential pathway
NCU08976.5	7000006085211297	7000007580557963	NCU08976.7	PWY2T-27	fatty acid elongation
NCU08977.5	7000006085211313	7000007580547229	NCU08977.7	PWY-2724	fatty acid &omega;-oxidation
NCU09002.5	7000006085195970	7000007580547298	NCU09002.7	PWY-4302	aerobic respiration -- electron donor III
NCU09002.5	7000006085195970	7000007580547298	NCU09002.7	PWY2T-14	aerobic xylose fermentation
NCU09002.5	7000006085195970	7000007580547298	NCU09002.7	PWY2T-15	aerobic xylose fermentation
NCU09002.5	7000006085195970	7000007580547298	NCU09002.7	PWY2T-2574	aerobic respiration
NCU09002.5	7000006085195970	7000007580547298	NCU09002.7	PWY-3781	aerobic respiration -- electron donor II
NCU09002.5	7000006085195970	7000007580547298	NCU09002.7	PWY2T-21	redox potential pathway
NCU09025.5	7000006085103911	7000007580562316	NCU09025.7	PWY-5921	L-glutamine biosynthesis II (tRNA-dependent)
NCU09041.5	7000006085102502	7000007580540256	NCU09041.7	PWY-5515	L-arabinose degradation II
NCU09050.5	7000006085102470	7000007580543789	NCU09050.7	PWY-6085	2,4-dichlorophenoxyacetate  degradation
NCU09058.5	7000006085103754	7000007580555306	NCU09058.7	LEU-DEG2-PWY	leucine degradation I
NCU09102.5	7000006085105683	7000007580559242	NCU09102.7	PWY-5921	L-glutamine biosynthesis II (tRNA-dependent)
NCU09116.5	7000006085105520	7000007580562463	NCU09116.7	PWY-5082	methionine degradation III
NCU09116.5	7000006085105520	7000007580562463	NCU09116.7	PWY-5079	phenylalanine degradation III
NCU09116.5	7000006085105520	7000007580562463	NCU09116.7	PHESYN	phenylalanine biosynthesis I
NCU09116.5	7000006085105520	7000007580562463	NCU09116.7	PWY-5886	4-hydroxyphenylpyruvate biosynthesis
NCU09116.5	7000006085105520	7000007580562463	NCU09116.7	TYRFUMCAT-PWY	tyrosine degradation I
NCU09116.5	7000006085105520	7000007580562463	NCU09116.7	TYRSYN-1	tyrosine biosynthesis I
NCU09116.5	7000006085105520	7000007580562463	NCU09116.7	PWY3O-4108-1	tyrosine degradation III
NCU09199.5	7000006085187693	7000007580544781	NCU09199.7	PWY-5404	betaxanthin biosynthesis (via dopaxanthin)
NCU09230.5	7000006085194334	7000007580575069	NCU09230.7	PWY-801	homocysteine and cysteine interconversion
NCU09230.5	7000006085194334	7000007580575069	NCU09230.7	HOMOCYSDEGR-PWY	cysteine biosynthesis/homocysteine degradation
NCU09230.5	7000006085194334	7000007580575069	NCU09230.7	LCYSDEG-PWY	L-cysteine degradation II
NCU09264.5	7000006085192205	7000007580585153	NCU09264.7	PWY-4361	methionine salvage I
NCU09299.5	7000006085104113	7000007580565541	NCU09299.7	PWY-4302	aerobic respiration -- electron donor III
NCU09299.5	7000006085104113	7000007580565541	NCU09299.7	PWY2T-14	aerobic xylose fermentation
NCU09299.5	7000006085104113	7000007580565541	NCU09299.7	PWY2T-15	aerobic xylose fermentation
NCU09299.5	7000006085104113	7000007580565541	NCU09299.7	PWY2T-2574	aerobic respiration
NCU09299.5	7000006085104113	7000007580565541	NCU09299.7	PWY-3781	aerobic respiration -- electron donor II
NCU09299.5	7000006085104113	7000007580565541	NCU09299.7	PWY2T-21	redox potential pathway
NCU09345.5	7000006085099307	7000007580578050	NCU09345.7	PWY3O-17	thiamine biosynthesis
NCU09460.5	7000006085103799	7000007580544020	NCU09460.7	PWY-4302	aerobic respiration -- electron donor III
NCU09460.5	7000006085103799	7000007580544020	NCU09460.7	PWY2T-14	aerobic xylose fermentation
NCU09460.5	7000006085103799	7000007580544020	NCU09460.7	PWY2T-15	aerobic xylose fermentation
NCU09460.5	7000006085103799	7000007580544020	NCU09460.7	PWY2T-2574	aerobic respiration
NCU09460.5	7000006085103799	7000007580544020	NCU09460.7	PWY-3781	aerobic respiration -- electron donor II
NCU09460.5	7000006085103799	7000007580544020	NCU09460.7	PWY2T-21	redox potential pathway
NCU09477.5	7000006085097224	7000007580559896	NCU09477.7	PWY-4302	aerobic respiration -- electron donor III
NCU09477.5	7000006085097224	7000007580559896	NCU09477.7	PWY2T-14	aerobic xylose fermentation
NCU09477.5	7000006085097224	7000007580559896	NCU09477.7	PWY2T-15	aerobic xylose fermentation
NCU09477.5	7000006085097224	7000007580559896	NCU09477.7	PWY2T-2574	aerobic respiration
NCU09477.5	7000006085097224	7000007580559896	NCU09477.7	PWY-3781	aerobic respiration -- electron donor II
NCU09477.5	7000006085097224	7000007580559896	NCU09477.7	PWY2T-21	redox potential pathway
NCU09746.5	7000006085018918	7000007580564032	NCU09746.7	PWY-5354	molybdenum cofactor biosynthesis
NCU09800.5	7000006085084561	7000007580549446	NCU09800.7	PWY0-981	taurine degradation IV
NCU09803.5	7000006085174333	7000007580559399	NCU09803.7	PWY0-166	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
NCU09803.5	7000006085174333	7000007580559399	NCU09803.7	PWY-6126-1	adenosine nucleotides <i>de novo</i> biosynthesis
NCU09803.5	7000006085174333	7000007580559399	NCU09803.7	P164-PWY	purine nucleotides degradation III (anaerobic)
NCU09803.5	7000006085174333	7000007580559399	NCU09803.7	SO4ASSIM-PWY-1	sulfate reduction I (assimilatory) - variant
NCU09803.5	7000006085174333	7000007580559399	NCU09803.7	SO4ASSIM-PWY	sulfate reduction I (assimilatory)
NCU09803.5	7000006085174333	7000007580559399	NCU09803.7	PWY2T-25	protein translation
NCU09803.5	7000006085174333	7000007580559399	NCU09803.7	THIOREDOX-PWY	thioredoxin pathway
NCU09810.5	7000006085177573	7000007580540726	NCU09810.7	PWY-5690	TCA cycle variation III (eukaryotic)
NCU09885.5	7000006085172628	7000007580569216	NCU09885.7	FAO-PWY	fatty acid &beta;-oxidation I
NCU09885.5	7000006085172628	7000007580569216	NCU09885.7	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU10021.5	7000006085102613	7000007580565500	NCU10021.7	PWY2T-42	cellulose degradation III (neurospora)
NCU10110.5	7000006085021604	7000007580578724	NCU10110.7	VALDEG-PWY	valine degradation I
NCU08409.5	7000006085098790	7000007580585745	NCU08409.7	TRPSYN-PWY	tryptophan biosynthesis
NCU10506.5	7000006085193866	7000007580572304	NCU10506.7	LIPAS-PWY-1	triacylglycerol degradation
NCU00678.5	7000006085173199	7000007580552387	NCU00678.7	GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
NCU11196.5	7000006085194028	7000007580587604	NCU11196.7	ILEUDEG-PWY	isoleucine degradation I
NCU06003.5	7000006085076528	7000007580578609	NCU06003.7	PWY-5659	GDP-mannose biosynthesis
NCU02479.5	7000006085177367	7000007580565808	NCU02479.7	GLNSYN-PWY	glutamine biosynthesis I
NCU02479.5	7000006085177367	7000007580565808	NCU02479.7	PWY-5675-1	nitrate reduction V (assimilatory)
NCU01004.5	7000006084966816	7000007580546560	NCU01004.7	PWY-5669	phosphatidylethanolamine biosynthesis I
NCU05188.5	7000006085022281	7000007580567398	NCU05188.7	PWY-5418	phenol degradation I (aerobic)
NCU06741.5	7000006085097459	7000007580580901	NCU06741.7	PWY2T-14	aerobic xylose fermentation
NCU06741.5	7000006085097459	7000007580580901	NCU06741.7	PWY2T-15	aerobic xylose fermentation
NCU06741.5	7000006085097459	7000007580580901	NCU06741.7	PWY2T-2574	aerobic respiration
NCU06741.5	7000006085097459	7000007580580901	NCU06741.7	PWY-3781	aerobic respiration -- electron donor II
NCU06741.5	7000006085097459	7000007580580901	NCU06741.7	PWY2T-21	redox potential pathway
NCU07366.5	7000006085106162	7000007580565851	NCU07366.7	UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II
NCU11382.5	7000006085101733	7000007580547724	NCU11382.7	PWY-5404	betaxanthin biosynthesis (via dopaxanthin)
NCU02450.5	7000006085101299	7000007580562238	NCU02450.7	ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)
NCU02450.5	7000006085101299	7000007580562238	NCU02450.7	PWY-6196	serine racemization
NCU11424.5	7000006085104142	7000007580539582	NCU11424.7	PWY-6681	neurosporaxanthin biosynthesis
NCU11451.5	7000006085104722	7000007580577366	NCU16336.7	PWY-5177	glutaryl-CoA degradation
NCU11472.5	7000006085186889	7000007580577230	NCU16362.7	PWY-6196	serine racemization
NCU11503.5	7000006085106049	7000007580545125	NCU16398.7	HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporphyrinogen-III I
NCU02777.5	7000006084974335	7000007580538480	NCU16917.7	PWY-5963	molybdenum cofactor (sulfide) biosynthesis
NCU04246.5	7000006084999587	7000007580557790	NCU04246.7	PWY-6543	p-aminobenzoate biosynthesis
NCU04246.5	7000006084999587	7000007580557790	NCU04246.7	FOLSYN-PWY	tetrahydrofolate biosynthesis
NCU11766.5	7000006085020388	7000007580560492	NCU16860.7	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis
NCU09184.5	7000006085202174	7000007580547257	NCU09184.7	PWY-6309	tryptophan degradation XI (mammalian, via kynurenine)
NCU11920.5	7000006085098668	7000007580575375	NCU16553.7	ASPARTATESYN-PWY	aspartate biosynthesis
NCU11920.5	7000006085098668	7000007580575375	NCU16553.7	MALATE-ASPARTATE-SHUTTLE-PWY	aspartate degradation II
