geneid	funcatid	funcattermname	pubmedid	evidencecode
NCU02059	42.27	extracellular / secretion proteins	PMID:15486203	IEA
NCU02066	10.01.05.01	DNA repair	PMID:15486203	IEA
NCU02066	70.10	nucleus	PMID:15486203	IEA
NCU02067	42.16	mitochondrion	PMID:15486203	IEA
NCU02067	70.16	mitochondrion	PMID:15486203	IEA
NCU02070	41.01	fungal/microorganismic development	PMID:15486203	IEA
NCU02070	42.19	peroxisome	PMID:15486203	IEA
NCU02070	70.19	peroxisome	PMID:15486203	IEA
NCU02074	14.07	protein modification	PMID:15486203	IEA
NCU02074	70.07	endoplasmic reticulum	PMID:15486203	IEA
NCU02076	12.04.01	translation initiation	PMID:15486203	IEA
NCU02076	70.03	cytoplasm	PMID:15486203	IEA
NCU02079	10.03.01.02	cell cycle arrest	PMID:15486203	IEA
NCU02083	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU02083	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU02083	20.09.13	vacuolar/lysosomal transport	PMID:15486203	IEA
NCU02083	42.25	vacuole or lysosome	PMID:15486203	IEA
NCU02084	01.01.05.01.01	biosynthesis of polyamines	PMID:15486203	IEA
NCU02090	01.03.01	purin nucleotide/nucleoside/nucleobase metabolism	PMID:15486203	IEA
NCU02090	01.03.04	pyrimidine nucleotide/nucleoside/nucleobase metabolism	PMID:15486203	IEA
NCU02094	01.01.13	regulation of amino acid metabolism	PMID:15486203	IEA
NCU02094	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU02096	01.02	nitrogen, sulfur and selenium metabolism	PMID:15486203	IEA
NCU02096	20.01.15	electron transport	PMID:15486203	IEA
NCU02096	32.05.01.03	chemical agent resistance	PMID:15486203	IEA
NCU02097	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02098	10.01.05.01	DNA repair	PMID:15486203	IEA
NCU02098	16.03.01	DNA binding	PMID:15486203	IEA
NCU02103	11.02.03	mRNA synthesis	PMID:15486203	IEA
NCU02103	70.10	nucleus	PMID:15486203	IEA
NCU02104	10.01.09.05	DNA conformation modification (e.g. chromatin)	PMID:15486203	IEA
NCU02104	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU02104	14.07.09	posttranslational modification of amino acids (e.g. hydroxylation, methylation)	PMID:15486203	IEA
NCU02104	70.10	nucleus	PMID:15486203	IEA
NCU02107	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU02109	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02109	42.01	cell wall	PMID:15486203	IEA
NCU02110	32.07.07.07	superoxide metabolism	PMID:15486203	IEA
NCU02111	20.09.14	cytoskeleton-dependent transport	PMID:15486203	IEA
NCU02111	43.01.03.05	budding, cell polarity and filament formation	PMID:15486203	IEA
NCU02114	10.03.01	mitotic cell cycle and cell cycle control	PMID:15486203	IEA
NCU02126	01.01.11.04.02	degradation of leucine	PMID:15486203	IEA
NCU02126	70.16	mitochondrion	PMID:15486203	IEA
NCU02127	01.01.11.04.02	degradation of leucine	PMID:15486203	IEA
NCU02127	70.16	mitochondrion	PMID:15486203	IEA
NCU02128	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02133	32.07.07.07	superoxide metabolism	PMID:15486203	IEA
NCU02136	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02136	02.07	pentose-phosphate pathway	PMID:15486203	IEA
NCU02136	70.03	cytoplasm	PMID:15486203	IEA
NCU02139	16.17.01	calcium binding	PMID:15486203	IEA
NCU02139	20.09.16	cellular export and secretion	PMID:15486203	IEA
NCU02139	20.09.18.09.01	endocytosis	PMID:15486203	IEA
NCU02139	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)	PMID:15486203	IEA
NCU02139	70.03	cytoplasm	PMID:15486203	IEA
NCU02142	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU02142	32.05.01.03	chemical agent resistance	PMID:15486203	IEA
NCU02149	14.10	assembly of protein complexes	PMID:15486203	IEA
NCU02149	70.16	mitochondrion	PMID:15486203	IEA
NCU02156	40.10.02.02	apoptotic program	PMID:15486203	IEA
NCU02157	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups	PMID:15486203	IEA
NCU02157	70.16	mitochondrion	PMID:15486203	IEA
NCU02162	14.10	assembly of protein complexes	PMID:15486203	IEA
NCU02178	11.04.03.11	control of mRNA stability	PMID:15486203	IEA
NCU02179	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02181	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU02184	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02190	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU02193	02.16.01	alcohol fermentation	PMID:15486203	IEA
NCU02193	70.03	cytoplasm	PMID:15486203	IEA
NCU02195	20.01.07	amino acid/amino acid derivatives transport	PMID:15486203	IEA
NCU02195	20.09.18.07	non-vesicular cellular import	PMID:15486203	IEA
NCU02195	70.02	eukaryotic plasma membrane / membrane attached	PMID:15486203	IEA
NCU02197	01.07.03	catabolism of vitamins, cofactors, and prosthetic groups	PMID:15486203	IEA
NCU02198	14.13	protein/peptide degradation	PMID:15486203	IEA
NCU02200	20.01.13	lipid/fatty acid transport	PMID:15486203	IEA
NCU02202	01.06.10	regulation of lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU02202	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation	PMID:15486203	IEA
NCU02202	30.01.05	enzyme mediated signal transduction	PMID:15486203	IEA
NCU02208	12.04.01	translation initiation	PMID:15486203	IEA
NCU02209	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU02216	42.01	cell wall	PMID:15486203	IEA
NCU02223	11.02.03.01	general transcription activities	PMID:15486203	IEA
NCU02223	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU02224	14.13.01	cytoplasmic and nuclear protein degradation	PMID:15486203	IEA
NCU02226	12.07	translational control	PMID:15486203	IEA
NCU02228	14.07.01	modification with fatty acids (e.g. myristylation, palmitylation, farnesylation)	PMID:15486203	IEA
NCU02230	10.01.05.01	DNA repair	PMID:15486203	IEA
NCU02232	10.01.03	DNA synthesis and replication	PMID:15486203	IEA
NCU02235	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02235	14.07	protein modification	PMID:15486203	IEA
NCU02238	20.01.25	vitamine/cofactor transport	PMID:15486203	IEA
NCU02238	20.09.18.07	non-vesicular cellular import	PMID:15486203	IEA
NCU02238	70.02	eukaryotic plasma membrane / membrane attached	PMID:15486203	IEA
NCU02240	01.05.02.07	sugar, glucoside, polyol and carboxylate catabolism	PMID:15486203	IEA
NCU02240	01.05.03	polysaccharide metabolism	PMID:15486203	IEA
NCU02249	10.01.09.05	DNA conformation modification (e.g. chromatin)	PMID:15486203	IEA
NCU02249	14.07.04	modification by acetylation, deacetylation	PMID:15486203	IEA
NCU02249	70.10.03	chromosome	PMID:15486203	IEA
NCU02250	02.11	electron transport and membrane-associated energy conservation	PMID:15486203	IEA
NCU02250	02.13	respiration	PMID:15486203	IEA
NCU02250	02.45.15	energy generation (e.g. ATP synthase)	PMID:15486203	IEA
NCU02250	20.03.22	transport ATPases	PMID:15486203	IEA
NCU02250	34.01.01.03	homeostasis of protons	PMID:15486203	IEA
NCU02250	70.16	mitochondrion	PMID:15486203	IEA
NCU02252	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02252	02.01	glycolysis and gluconeogenesis	PMID:15486203	IEA
NCU02253	43.01.03	fungal and other eukaryotic cell type differentiation	PMID:15486203	IEA
NCU02254	10.03.03	cytokinesis (cell division) /septum formation and hydrolysis	PMID:15486203	IEA
NCU02256	70.10	nucleus	PMID:15486203	IEA
NCU02263	20.01.13	lipid/fatty acid transport	PMID:15486203	IEA
NCU02263	20.09.07	vesicular transport (Golgi network, etc.)	PMID:15486203	IEA
NCU02264	14.01	protein folding and stabilization	PMID:15486203	IEA
NCU02264	16.01	protein binding	PMID:15486203	IEA
NCU02268	20.09.07	vesicular transport (Golgi network, etc.)	PMID:15486203	IEA
NCU02268	42.08	Golgi	PMID:15486203	IEA
NCU02268	70.08	Golgi	PMID:15486203	IEA
NCU02269	20.09.04	mitochondrial transport	PMID:15486203	IEA
NCU02269	70.16	mitochondrion	PMID:15486203	IEA
NCU02270	10.03.01	mitotic cell cycle and cell cycle control	PMID:15486203	IEA
NCU02270	16.01	protein binding	PMID:15486203	IEA
NCU02273	14.13.04	lysosomal and vacuolar protein degradation	PMID:15486203	IEA
NCU02273	70.25	vacuole or lysosome	PMID:15486203	IEA
NCU02274	01.01	amino acid metabolism	PMID:15486203	IEA
NCU02274	01.03.01	purin nucleotide/nucleoside/nucleobase metabolism	PMID:15486203	IEA
NCU02274	01.05.05.04	C-1 compound anabolism	PMID:15486203	IEA
NCU02274	01.05.05.07	C-1 compound catabolism	PMID:15486203	IEA
NCU02274	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU02274	70.03	cytoplasm	PMID:15486203	IEA
NCU02276	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU02276	70.10	nucleus	PMID:15486203	IEA
NCU02278	16.17.09	heavy metal binding (Cu, Fe, Zn)	PMID:15486203	IEA
NCU02278	20.09.18.07	non-vesicular cellular import	PMID:15486203	IEA
NCU02278	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)	PMID:15486203	IEA
NCU02280	02.11	electron transport and membrane-associated energy conservation	PMID:15486203	IEA
NCU02280	02.13	respiration	PMID:15486203	IEA
NCU02280	70.16	mitochondrion	PMID:15486203	IEA
NCU02282	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU02282	32.05.01.01	antibiotic resistance	PMID:15486203	IEA
NCU02283	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation	PMID:15486203	IEA
NCU02283	30.01.05	enzyme mediated signal transduction	PMID:15486203	IEA
NCU02283	34.11.11	rhythm (e.g. circadian, ultradian)	PMID:15486203	IEA
NCU02286	16.03.03	RNA binding	PMID:15486203	IEA
NCU02289	14.07.05	modification by ubiquitination, deubiquitination	PMID:15486203	IEA
NCU02289	14.13.01	cytoplasmic and nuclear protein degradation	PMID:15486203	IEA
NCU02291	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU02294	20.09.07	vesicular transport (Golgi network, etc.)	PMID:15486203	IEA
NCU02295	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU02299	01.05.03	polysaccharide metabolism	PMID:15486203	IEA
NCU02299	42.01	cell wall	PMID:15486203	IEA
NCU02305	01.20.15.03	metabolism of ubiquinone	PMID:15486203	IEA
NCU02315	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU02315	16.03.01	DNA binding	PMID:15486203	IEA
NCU02322	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02335	32.05.05.01	toxins	PMID:15486203	IEA
NCU02336	32.05.05	virulence, disease factors	PMID:15486203	IEA
NCU02336	42.27	extracellular / secretion proteins	PMID:15486203	IEA
NCU02344	01.05.03	polysaccharide metabolism	PMID:15486203	IEA
NCU02348	10.01.05.01	DNA repair	PMID:15486203	IEA
NCU02348	70.10	nucleus	PMID:15486203	IEA
NCU02352	20.01.03	C-compound and carbohydrate transport	PMID:15486203	IEA
NCU02352	20.09.04	mitochondrial transport	PMID:15486203	IEA
NCU02352	70.16	mitochondrion	PMID:15486203	IEA
NCU02357	20.09.01	nuclear transport	PMID:15486203	IEA
NCU02357	70.10	nucleus	PMID:15486203	IEA
NCU02366	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02366	02.10	tricarboxylic-acid pathway (citrate cycle, Krebs cycle, TCA cycle)	PMID:15486203	IEA
NCU02374	14.13.01	cytoplasmic and nuclear protein degradation	PMID:15486203	IEA
NCU02380	12.10	aminoacyl-tRNA-synthetases	PMID:15486203	IEA
NCU02380	70.03	cytoplasm	PMID:15486203	IEA
NCU02391	20.09.07.03	ER to Golgi transport	PMID:15486203	IEA
NCU02391	20.09.07.25	vesicle formation	PMID:15486203	IEA
NCU02391	70.09	intracellular transport vesicles	PMID:15486203	IEA
NCU02395	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups	PMID:15486203	IEA
NCU02396	10.03.01	mitotic cell cycle and cell cycle control	PMID:15486203	IEA
NCU02396	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)	PMID:15486203	IEA
NCU02396	42.16	mitochondrion	PMID:15486203	IEA
NCU02396	70.16	mitochondrion	PMID:15486203	IEA
NCU02407	02.10	tricarboxylic-acid pathway (citrate cycle, Krebs cycle, TCA cycle)	PMID:15486203	IEA
NCU02407	10.03.01.01.03	G1/S transition of mitotic cell cycle	PMID:15486203	IEA
NCU02407	70.16	mitochondrion	PMID:15486203	IEA
NCU02411	16.01	protein binding	PMID:15486203	IEA
NCU02414	12.04.01	translation initiation	PMID:15486203	IEA
NCU02414	12.07	translational control	PMID:15486203	IEA
NCU02414	70.03	cytoplasm	PMID:15486203	IEA
NCU02416	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU02419	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU02421	20.09.07.05	intra Golgi transport	PMID:15486203	IEA
NCU02423	11.04.03.01	splicing	PMID:15486203	IEA
NCU02423	20.09.04	mitochondrial transport	PMID:15486203	IEA
NCU02423	70.16	mitochondrion	PMID:15486203	IEA
NCU02424	18.02.01.02	enzyme inhibitor	PMID:15486203	IEA
NCU02424	30.01.05	enzyme mediated signal transduction	PMID:15486203	IEA
NCU02430	01.01	amino acid metabolism	PMID:15486203	IEA
NCU02430	01.01.06.04.01	biosynthesis of threonine	PMID:15486203	IEA
NCU02430	01.01.06.04.02	degradation of threonine	PMID:15486203	IEA
NCU02430	01.01.06.05.02	degradation of methionine	PMID:15486203	IEA
NCU02430	01.01.09.01.02	degradation of glycine	PMID:15486203	IEA
NCU02430	01.01.09.02.01	biosynthesis of serine	PMID:15486203	IEA
NCU02430	01.01.09.02.02	degradation of serine	PMID:15486203	IEA
NCU02430	01.02	nitrogen, sulfur and selenium metabolism	PMID:15486203	IEA
NCU02433	14.13.04	lysosomal and vacuolar protein degradation	PMID:15486203	IEA
NCU02433	20.09.14	cytoskeleton-dependent transport	PMID:15486203	IEA
NCU02435	10.03.04.03	chromosome condensation	PMID:15486203	IEA
NCU02435	70.10.03	chromosome	PMID:15486203	IEA
NCU02437	10.03.04.03	chromosome condensation	PMID:15486203	IEA
NCU02437	70.10.03	chromosome	PMID:15486203	IEA
NCU02438	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02438	02.10	tricarboxylic-acid pathway (citrate cycle, Krebs cycle, TCA cycle)	PMID:15486203	IEA
NCU02438	70.16	mitochondrion	PMID:15486203	IEA
NCU02455	14.01	protein folding and stabilization	PMID:15486203	IEA
NCU02464	01.05.25	regulation of C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02464	10.03.01	mitotic cell cycle and cell cycle control	PMID:15486203	IEA
NCU02464	10.03.03	cytokinesis (cell division) /septum formation and hydrolysis	PMID:15486203	IEA
NCU02464	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins	PMID:15486203	IEA
NCU02464	43.01.03	fungal and other eukaryotic cell type differentiation	PMID:15486203	IEA
NCU02464	43.01.03.05	budding, cell polarity and filament formation	PMID:15486203	IEA
NCU02468	40.10	cell death	PMID:15486203	IEA
NCU02472	02.11	electron transport and membrane-associated energy conservation	PMID:15486203	IEA
NCU02472	20.01.15	electron transport	PMID:15486203	IEA
NCU02472	20.03	transport facilities	PMID:15486203	IEA
NCU02472	70.16	mitochondrion	PMID:15486203	IEA
NCU02473	20.09.01	nuclear transport	PMID:15486203	IEA
NCU02473	70.10	nucleus	PMID:15486203	IEA
NCU02475	01.01.09.01.01	biosynthesis of glycine	PMID:15486203	IEA
NCU02475	01.01.09.01.02	degradation of glycine	PMID:15486203	IEA
NCU02475	01.01.09.02.01	biosynthesis of serine	PMID:15486203	IEA
NCU02475	01.01.09.02.02	degradation of serine	PMID:15486203	IEA
NCU02475	01.02	nitrogen, sulfur and selenium metabolism	PMID:15486203	IEA
NCU02475	01.07	metabolism of vitamins, cofactors, and prosthetic groups	PMID:15486203	IEA
NCU02478	42.01	cell wall	PMID:15486203	IEA
NCU02479	01.01.03.01.01	biosynthesis of glutamine	PMID:15486203	IEA
NCU02479	01.01.03.01.02	degradation of glutamine	PMID:15486203	IEA
NCU02479	01.02	nitrogen, sulfur and selenium metabolism	PMID:15486203	IEA
NCU02481	01.05.06.07	C-2 compound and organic acid catabolism	PMID:15486203	IEA
NCU02481	02.04	glyoxylate cycle	PMID:15486203	IEA
NCU02482	01.05.06.07	C-2 compound and organic acid catabolism	PMID:15486203	IEA
NCU02482	02.04	glyoxylate cycle	PMID:15486203	IEA
NCU02485	01.01.09.04.01	biosynthesis of phenylalanine	PMID:15486203	IEA
NCU02485	01.01.09.04.02	degradation of phenylalanine	PMID:15486203	IEA
NCU02493	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	PMID:15486203	IEA
NCU02496	10.03.01.01.11	M phase	PMID:15486203	IEA
NCU02496	30.01.05.01	protein kinase	PMID:15486203	IEA
NCU02497	10.01.03	DNA synthesis and replication	PMID:15486203	IEA
NCU02500	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins	PMID:15486203	IEA
NCU02500	34.11.11	rhythm (e.g. circadian, ultradian)	PMID:15486203	IEA
NCU02502	01.06.06.11	tetracyclic and pentacyclic triterpenes (cholesterin, steroids and hopanoids) metabolism	PMID:15486203	IEA
NCU02505	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02505	01.06.05	fatty acid metabolism	PMID:15486203	IEA
NCU02505	01.07	metabolism of vitamins, cofactors, and prosthetic groups	PMID:15486203	IEA
NCU02505	02.01	glycolysis and gluconeogenesis	PMID:15486203	IEA
NCU02505	16.19.03	ATP binding	PMID:15486203	IEA
NCU02508	11.04.03.01	splicing	PMID:15486203	IEA
NCU02508	70.10	nucleus	PMID:15486203	IEA
NCU02509	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU02509	70.03	cytoplasm	PMID:15486203	IEA
NCU02510	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU02510	42.09	intracellular transport vesicles	PMID:15486203	IEA
NCU02510	70.03	cytoplasm	PMID:15486203	IEA
NCU02511	11.04.01	rRNA processing	PMID:15486203	IEA
NCU02511	12.01	ribosome biogenesis	PMID:15486203	IEA
NCU02511	14.10	assembly of protein complexes	PMID:15486203	IEA
NCU02511	70.10	nucleus	PMID:15486203	IEA
NCU02514	02.11	electron transport and membrane-associated energy conservation	PMID:15486203	IEA
NCU02514	02.45.15	energy generation (e.g. ATP synthase)	PMID:15486203	IEA
NCU02514	20.01.01.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)	PMID:15486203	IEA
NCU02514	20.03.22	transport ATPases	PMID:15486203	IEA
NCU02514	20.09.04	mitochondrial transport	PMID:15486203	IEA
NCU02514	34.01.01.03	homeostasis of protons	PMID:15486203	IEA
NCU02515	14.13.04.02	vacuolar protein degradation	PMID:15486203	IEA
NCU02515	70.25	vacuole or lysosome	PMID:15486203	IEA
NCU02522	20.01.27	drug/toxin transport	PMID:15486203	IEA
NCU02525	32.05.01	resistance proteins	PMID:15486203	IEA
NCU02530	02.13	respiration	PMID:15486203	IEA
NCU02530	14.10	assembly of protein complexes	PMID:15486203	IEA
NCU02530	70.16	mitochondrion	PMID:15486203	IEA
NCU02532	14.07.05	modification by ubiquitination, deubiquitination	PMID:15486203	IEA
NCU02533	11.02.01	rRNA synthesis	PMID:15486203	IEA
NCU02533	11.02.02	tRNA synthesis	PMID:15486203	IEA
NCU02533	16.03.01	DNA binding	PMID:15486203	IEA
NCU02533	70.10	nucleus	PMID:15486203	IEA
NCU02534	02.11	electron transport and membrane-associated energy conservation	PMID:15486203	IEA
NCU02536	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups	PMID:15486203	IEA
NCU02538	20.09.07	vesicular transport (Golgi network, etc.)	PMID:15486203	IEA
NCU02538	70.09	intracellular transport vesicles	PMID:15486203	IEA
NCU02539	10.01.03	DNA synthesis and replication	PMID:15486203	IEA
NCU02539	10.03.01	mitotic cell cycle and cell cycle control	PMID:15486203	IEA
NCU02539	70.10	nucleus	PMID:15486203	IEA
NCU02541	14.07.02	modification with sugar residues (e.g. glycosylation, deglycosylation)	PMID:15486203	IEA
NCU02541	20.09.16	cellular export and secretion	PMID:15486203	IEA
NCU02542	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02542	02.01	glycolysis and gluconeogenesis	PMID:15486203	IEA
NCU02542	70.03	cytoplasm	PMID:15486203	IEA
NCU02543	01.01.03.05.01	biosynthesis of arginine	PMID:15486203	IEA
NCU02544	20.03.25	ABC transporters	PMID:15486203	IEA
NCU02546	16.19.05	GTP binding	PMID:15486203	IEA
NCU02549	14.07.11	protein processing (proteolytic)	PMID:15486203	IEA
NCU02549	70.16	mitochondrion	PMID:15486203	IEA
NCU02550	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02555	10.03.01	mitotic cell cycle and cell cycle control	PMID:15486203	IEA
NCU02555	20.09.14	cytoskeleton-dependent transport	PMID:15486203	IEA
NCU02563	11.02.03.01	general transcription activities	PMID:15486203	IEA
NCU02563	70.10	nucleus	PMID:15486203	IEA
NCU02564	01.01.09.03.01	biosynthesis of cysteine	PMID:15486203	IEA
NCU02566	12.10	aminoacyl-tRNA-synthetases	PMID:15486203	IEA
NCU02580	02.10	tricarboxylic-acid pathway (citrate cycle, Krebs cycle, TCA cycle)	PMID:15486203	IEA
NCU02580	16.21.05	FAD/FMN binding	PMID:15486203	IEA
NCU02582	20.01.03	C-compound and carbohydrate transport	PMID:15486203	IEA
NCU02582	20.03	transport facilities	PMID:15486203	IEA
NCU02583	01.05.03	polysaccharide metabolism	PMID:15486203	IEA
NCU02585	12.10	aminoacyl-tRNA-synthetases	PMID:15486203	IEA
NCU02585	70.16	mitochondrion	PMID:15486203	IEA
NCU02586	14.10	assembly of protein complexes	PMID:15486203	IEA
NCU02586	16.01	protein binding	PMID:15486203	IEA
NCU02586	20.09.18.09.01	endocytosis	PMID:15486203	IEA
NCU02587	10.01.05.01	DNA repair	PMID:15486203	IEA
NCU02587	11.02.03.01.01	transcription initiation	PMID:15486203	IEA
NCU02587	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU02587	14.10	assembly of protein complexes	PMID:15486203	IEA
NCU02588	10.03.04.09	nuclear migration	PMID:15486203	IEA
NCU02591	20.01.03	C-compound and carbohydrate transport	PMID:15486203	IEA
NCU02591	20.03.02.02.01	proton driven symporter	PMID:15486203	IEA
NCU02591	70.02	eukaryotic plasma membrane / membrane attached	PMID:15486203	IEA
NCU02592	01.05.25	regulation of C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02592	18.02.01	enzymatic activity regulation / enzyme regulator	PMID:15486203	IEA
NCU02592	42.01	cell wall	PMID:15486203	IEA
NCU02599	70.07	endoplasmic reticulum	PMID:15486203	IEA
NCU02604	11.04.01	rRNA processing	PMID:15486203	IEA
NCU02604	70.10	nucleus	PMID:15486203	IEA
NCU02605	11.02.01	rRNA synthesis	PMID:15486203	IEA
NCU02605	11.02.02	tRNA synthesis	PMID:15486203	IEA
NCU02605	11.02.03.01	general transcription activities	PMID:15486203	IEA
NCU02614	14.01	protein folding and stabilization	PMID:15486203	IEA
NCU02615	11.02.03.01	general transcription activities	PMID:15486203	IEA
NCU02621	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU02624	01.06.06.11	tetracyclic and pentacyclic triterpenes (cholesterin, steroids and hopanoids) metabolism	PMID:15486203	IEA
NCU02629	01.03.01.03	purine nucleotide/nucleoside/nucleobase anabolism	PMID:15486203	IEA
NCU02630	14.01	protein folding and stabilization	PMID:15486203	IEA
NCU02630	14.13	protein/peptide degradation	PMID:15486203	IEA
NCU02630	32.01	stress response	PMID:15486203	IEA
NCU02633	11.04.03.01	splicing	PMID:15486203	IEA
NCU02633	16.03.03	RNA binding	PMID:15486203	IEA
NCU02633	70.10	nucleus	PMID:15486203	IEA
NCU02635	14.07.02	modification with sugar residues (e.g. glycosylation, deglycosylation)	PMID:15486203	IEA
NCU02635	42.01	cell wall	PMID:15486203	IEA
NCU02635	70.08	Golgi	PMID:15486203	IEA
NCU02640	70.10.07	nucleolus	PMID:15486203	IEA
NCU02650	14.10	assembly of protein complexes	PMID:15486203	IEA
NCU02650	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	PMID:15486203	IEA
NCU02653	20.01.23	allantoin and allantoate transport	PMID:15486203	IEA
NCU02653	20.09.18.07	non-vesicular cellular import	PMID:15486203	IEA
NCU02653	70.02	eukaryotic plasma membrane / membrane attached	PMID:15486203	IEA
NCU02657	01.01.06.05.02	degradation of methionine	PMID:15486203	IEA
NCU02657	01.20.21	metabolism of sulfuric acid and L-cysteine derivatives	PMID:15486203	IEA
NCU02669	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU02669	20.09.07	vesicular transport (Golgi network, etc.)	PMID:15486203	IEA
NCU02669	20.09.13	vacuolar/lysosomal transport	PMID:15486203	IEA
NCU02671	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU02675	11.04.01	rRNA processing	PMID:15486203	IEA
NCU02680	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU02680	20.09.01	nuclear transport	PMID:15486203	IEA
NCU02681	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU02681	20.03	transport facilities	PMID:15486203	IEA
NCU02681	20.09	transport routes	PMID:15486203	IEA
NCU02681	70.07	endoplasmic reticulum	PMID:15486203	IEA
NCU02683	10.01.03	DNA synthesis and replication	PMID:15486203	IEA
NCU02683	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins	PMID:15486203	IEA
NCU02693	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU02701	14.13.01	cytoplasmic and nuclear protein degradation	PMID:15486203	IEA
NCU02701	16.17.09	heavy metal binding (Cu, Fe, Zn)	PMID:15486203	IEA
NCU02702	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02702	02.07	pentose-phosphate pathway	PMID:15486203	IEA
NCU02704	01.01	amino acid metabolism	PMID:15486203	IEA
NCU02704	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02705	14.10	assembly of protein complexes	PMID:15486203	IEA
NCU02706	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU02706	20.09.07	vesicular transport (Golgi network, etc.)	PMID:15486203	IEA
NCU02706	70.08	Golgi	PMID:15486203	IEA
NCU02712	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU02712	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation	PMID:15486203	IEA
NCU02713	11.02.03.04.03	transcription repression	PMID:15486203	IEA
NCU02716	11.04.03.01	splicing	PMID:15486203	IEA
NCU02716	70.10	nucleus	PMID:15486203	IEA
NCU02717	11.04.03.01	splicing	PMID:15486203	IEA
NCU02717	14.10	assembly of protein complexes	PMID:15486203	IEA
NCU02717	70.10	nucleus	PMID:15486203	IEA
NCU02724	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU02724	16.03.01	DNA binding	PMID:15486203	IEA
NCU02726	01.06.02.01	phospholipid metabolism	PMID:15486203	IEA
